PHENOTYPE,N_SNPS,N_TARGET_SNPS,MAX_MAG_BKGRD,MEDIAN_MAG_BKGRD,AVE_MAG_BKGRD,BETA_WILCOX_PVAL,VAR_BKGRD,SUM_BKGRD,MAX_MAG_TARGET,MEDIAN_MAG_TARGET,AVE_MAG_TARGET,VAR_TARGET,SUM_TARGET,SUM_RATIO_TARGET_BKGRD
Alanine_aminotransferase,280,87,0.226757523748603,0.0217636679346357,0.03192919807687222,0.9999999996151268,0.0018499383042795577,6.162335228836339,0.0612376115485755,0.0156909996039594,0.019637224532541082,4.6741984977755107e-4,1.7084385343310742,0.2772388178975596
Albumin,199,28,0.272145737287138,0.0242157220650798,0.03610582054484713,0.9987708890664637,0.0026488335159066006,6.174095313168858,0.0842542206251517,0.0196255981898242,0.026813075160789134,0.001069638399398389,0.7507661045020958,0.12159937066419609
Alkaline_phosphatase,466,111,1.47684668633624,0.0241151172735287,0.041470776511265066,0.999999999995224,0.009704000386605738,14.7221256614991,0.0661162684058737,0.0166663668835229,0.02287956351340584,7.344639708960479e-4,2.5396315499880484,0.17250440652260043
Ankle_spacing_width_left,204,77,0.28465112978022,0.0306039006929154,0.04069616154715351,0.9999999956537721,0.0025659166865504585,5.1684125164884955,0.0838033676048837,0.0233676116884847,0.030244834144798435,0.0011309802389722417,2.3288522291494793,0.4505933343594137
Ankle_spacing_width,449,151,0.31558785674082,0.0246469459269131,0.032279696647515,0.999999999999878,0.001771319429288245,9.61934960095947,0.0845671866597925,0.0181239021676433,0.023462576313012948,7.109766841263377e-4,3.542849023264955,0.36830442495941496
Ankle_spacing_width_right,256,119,0.277645959359789,0.0308530479576982,0.04064190322414091,0.999999904228052,0.0025624053399834474,5.567940741707304,0.0924693934066237,0.0241946654630451,0.03220972245832377,0.0012823233680733213,3.832956972540529,0.6883975872496849
Apolipoprotein_A,311,47,0.330372779543103,0.02561442660356215,0.04010814421829979,0.9999999999541126,0.0030804988025968194,10.588550073631145,0.0563597194226088,0.0143054186875929,0.019076064533299956,4.760080589048749e-4,0.896575033065098,0.08467401361191602
Apolipoprotein_B,418,107,1.00244234061176,0.0298003391726723,0.05580494310836832,1,0.01120979327073423,17.355337306702545,0.0762245897709843,0.0166268166652888,0.02314440685772381,7.490028469739768e-4,2.476451533776448,0.14269106327423867
Arm_fat_free_mass_left,529,108,0.111625857898841,0.0138473096681552,0.016623732009618832,0.9999999999571876,3.8357036775509684e-4,6.998591176049529,0.0350886433076227,0.010029608702615146,0.013109485206048788,2.2093165216200114e-4,1.415824402253269,0.20230134417602239
Arm_fat_free_mass_right,637,123,0.110966447491288,0.01293686063876865,0.016156070334815323,0.9999999999998704,3.643665961851547e-4,8.304220152095077,0.0374295497511285,0.00994448355516922,0.012312616458386048,1.924731725855894e-4,1.514451824381484,0.18237134813910275
