ID,PHENOTYPE,SAMPLE_SIZE,METHODOLOGY,PARAMETERS,NO_VARIANTS,FTP_WEBPAGE,NO_NONZERO_VARIANTS,NONZERO_FRACTION
PGS000001,Breast Cancer,22627,SNPs passing genome-wide significance,P<5x10-8,77,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000001/ScoringFiles/PGS000001.txt.gz,77,1
PGS000002,ER-positive Breast Cancer,22627,SNPs passing genome-wide significance,P<5x10-8,77,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000002/ScoringFiles/PGS000002.txt.gz,77,1
PGS000003,ER-negative Breast Cancer,22627,SNPs passing genome-wide significance,P<5x10-8,77,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000003/ScoringFiles/PGS000003.txt.gz,77,1
PGS000004,Breast Cancer,158648,Hard-Thresholding Stepwise Forward Regression,p < 10^-5,313,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000004/ScoringFiles/PGS000004.txt.gz,313,1
PGS000005,ER-positive Breast Cancer,87368,Hard-Thresholding Stepwise Forward Regression,p < 10^-5,313,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000005/ScoringFiles/PGS000005.txt.gz,313,1
PGS000006,ER-negative Breast Cancer,87368,Hard-Thresholding Stepwise Forward Regression,p < 10^-5,313,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000006/ScoringFiles/PGS000006.txt.gz,313,1
PGS000007,Breast Cancer,158648,LASSO penalized regression,p < 0.001,3820,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000007/ScoringFiles/PGS000007.txt.gz,3435,0.8992146596858639
PGS000008,ER-positive Breast Cancer,87368,LASSO penalized regression,p < 0.001,3820,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000008/ScoringFiles/PGS000008.txt.gz,3792,0.9926701570680628
PGS000009,ER-negative Breast Cancer,87368,LASSO penalized regression,p < 0.001,3820,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000009/ScoringFiles/PGS000009.txt.gz,3797,0.9939790575916231
PGS000010,Coronary heart disease,86995,Genome-wide significant variants,NA,27,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000010/ScoringFiles/PGS000010.txt.gz,27,1
PGS000011,Coronary artery disease,365042,Genome-wide significant variants,Also includes the SNPs from GRS 27 (Mega et al.; PMID:25748612),50,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000011/ScoringFiles/PGS000011.txt.gz,50,1
PGS000012,Coronary artery disease,194427,LD thinning,r2 threshold = 0.7,49310,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000012/ScoringFiles/PGS000012.txt.gz,49309,0.999979720137903
PGS000013,Coronary artery disease,187599,LDpred,ρ = 0.001; LD panel = 503 1000G Europeans,6630150,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000013/ScoringFiles/PGS000013.txt.gz,6630150,1
PGS000014,Type 2 diabetes,318416,LDpred,ρ = 0.01; LD panel = 503 1000G Europeans,6917436,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000014/ScoringFiles/PGS000014.txt.gz,6917436,1
PGS000015,Breast cancer,139274,Pruning and Thresholding (P+T),r2 < 0.2; P < 5e−4; LD panel = 503 100G Europeans,5218,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000015/ScoringFiles/PGS000015.txt.gz,5218,1
PGS000016,Atrial fibrillation,132118,LDpred,ρ = 0.003; LD panel = 503 1000G Europeans,6730541,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000016/ScoringFiles/PGS000016.txt.gz,6730541,1
PGS000017,Inflammatory bowel disease,34652,LDpred,ρ = 0.1; LD panel = 503 1000G Europeans,6907112,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000017/ScoringFiles/PGS000017.txt.gz,6907112,1
PGS000018,Coronary artery disease,382026,metaGRS,"metaGRS log(HR) mixing weights: GRS46K=0.1278, FDR202=0.2359 and 1000Genomes=0.2400",1745179,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000018/ScoringFiles/PGS000018.txt.gz,1745159,0.999988539857516
PGS000019,Coronary artery disease,187599,Genome-wide significant variants,"FDR < 5%, r2 < 0.20",192,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000019/ScoringFiles/PGS000019.txt.gz,192,1
PGS000020,Type 2 diabetes,69033,Pruning and Thresholding (P+T),"P < 0.05, r2 < 0.05, betas are weighted by the probability that they are in the top 1000 signals",7502,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000020/ScoringFiles/PGS000020.txt.gz,7502,1
PGS000021,Type 1 diabetes,21924,SNP associations curated from the literature,HLA Haplotypes called with SNP2HLA using the T1DGC reference panel,30,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000021/ScoringFiles/PGS000021.txt.gz,33,1.1
PGS000022,Type 1 diabetes,NA,Genome-wide significant variants,Literature curated SNPs and HLA haplotypes. Based off of Oram et al. (2016; PMID:26577414) & Patel et al. (2016; PMID:27207547),37,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000022/ScoringFiles/PGS000022.txt.gz,36,0.972972972972973
PGS000023,Type 1 diabetes,3949,Genome-wide significant variants,NA,7,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000023/ScoringFiles/PGS000023.txt.gz,7,1
PGS000024,Type 1 diabetes,16086,Genome-wide significant associations and interaction modelling,Significance threshold for interactions: p < 10^-4,67,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000024/ScoringFiles/PGS000024.txt.gz,85,1.2686567164179106
PGS000025,Alzheimer's Disease,55134,log-OR weighted sum of risk allele dosages,"Top SNP in each locus (+- 500kb around top SNP) reaching genome-wide significance, excluding APOE. Recoded the odds ratios (OR) from the IGAP meta-analysis so they would all indicate an increased risk of AD and used the log(OR)and corresponding alleles to compute a weighted sum of risk allele dosages. applied an additional transformation so that one unit of the GRS would be interpreted as one additional
risk allele.",19,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000025/ScoringFiles/PGS000025.txt.gz,19,1
PGS000026,Alzheimer's Disease,54162,Hazard model with stepwise selection of SNP inclusion,SNPs eligible for inclusion had a significane of p < 10−5,31,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000026/ScoringFiles/PGS000026.txt.gz,33,1.064516129032258
PGS000027,Body Mass Index,238944,LDpred,ρ = 0.03; LD reference panel = 503 European samples from 1000 Genomes phase 3,2100302,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000027/ScoringFiles/PGS000027.txt.gz,2100302,1
PGS000028,Breast cancer,144871,composite likelihood ratio,"SNPs with p<5x10-8 in studies of invasive breast cancer in Caucasian, Asian, or Hispanic populations, or proxy SNP on  Illumina Oncoarray in strong LD (r2>0.9)",83,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000028/ScoringFiles/PGS000028.txt.gz,86,1.036144578313253
PGS000029,Breast cancer,59199,composite likelihood ratio,"SNPs with p<5x10-8 in studies of invasive breast cancer in Asian populations, or proxy SNP on  Illumina Oncoarray in strong LD (r2>0.9)",76,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000029/ScoringFiles/PGS000029.txt.gz,75,0.9868421052631579
PGS000030,Prostate cancer,140254,Genome-wide significant variants,NA,147,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000030/ScoringFiles/PGS000030.txt.gz,147,1
PGS000031,Type 2 diabetes,69033,Genome-wide significant variants,Index SNPs or their proxies,62,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000031/ScoringFiles/PGS000031.txt.gz,62,1
PGS000032,Type 2 diabetes (based on SNPs involved in β-cell function),69033,Genome-wide significant variants,Index SNPs or their proxies (using T2D weights),20,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000032/ScoringFiles/PGS000032.txt.gz,20,1
PGS000033,Type 2 diabetes (based on SNPs involved in insulin resistance),69033,Genome-wide significant variants,Index SNPs or their proxies (using T2D weights),10,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000033/ScoringFiles/PGS000033.txt.gz,10,1
PGS000034,Adult Body Mass Index,238944,Genome-wide significant variants,The GRS is normalized by multiplying the weighted allele counts by the number of SNPs and their weights (97/sum( βi)),97,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000034/ScoringFiles/PGS000034.txt.gz,97,1
PGS000035,Atrial fibrillation,132118,Pruning and Thresholding (P+T),P < 10^-4; r2 < 0.5,1168,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000035/ScoringFiles/PGS000035.txt.gz,1168,1
PGS000036,Type 2 diabetes,455313,Pruning and Thresholding (P+T),P < 0.1; r2 < 0.6,171249,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000036/ScoringFiles/PGS000036.txt.gz,171249,1
PGS000037,Asthma,26475,Pruning and Thresholding (P+T),p < 5×10^-8 from meta-analysis in Moffatt 2010; R2 threshold 0.60,15,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000037/ScoringFiles/PGS000037.txt.gz,15,1
PGS000038,Stroke,446696,Clumping and Thresholding (C+T),P < 1×10−5; Independent SNPs were clumped based selected using the following thresholds: r2 < 0.05 or 1000 Kb apart using plink,90,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000038/ScoringFiles/PGS000038.txt.gz,90,1
PGS000039,Ischaemic stroke,3202307,metaGRS of 19 component PGSs,LD thinning of 19 component PGSs,3225583,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000039/ScoringFiles/PGS000039.txt.gz,3225582,0.9999996899785248
PGS000040,Coeliac disease,6785,SparSNP,"Lasso penalised linear SVM, 10-fold cross-validation",228,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000040/ScoringFiles/PGS000040.txt.gz,228,1
PGS000041,Coeliac disease,11912,SparSNP,"Lasso penalised linear SVM on SNPs, 10-fold cross-validation",2513,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000041/ScoringFiles/PGS000041.txt.gz,2513,1
PGS000042,Coeliac disease,5552,SparSNP,"Lasso penalised linear SVM on SNPs & imputed HLA alleles (SNP2HLA), 10-fold cross-validation",3317,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000042/ScoringFiles/PGS000042.txt.gz,3317,1
PGS000043,Venous thromboembolism,650119,Pruning + Clumping,P < 1×10^−5; R^2 > 0.2,297,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000043/ScoringFiles/PGS000043.txt.gz,297,1
