PHENO,PEARSON_CORR,SPEARMAN_RHO,COSINE_SIM,TOP10PCT_PREV,TOP1PCT_PREV,TOP10PCT_OR,TOP1PCT_OR,PERCENTILE_AVE_PREV_SLOPE,PERCENTILE_AVE_PREV_SPEARMAN,PERCENTILE_AVE_PHENO_SLOPE,PERCENTILE_AVE_PHENO_SPEARMAN
Alanine_aminotransferase,1,1,1,1,0.82,1,0.82,0.79,0.49,0.9,0.92
Albumin,1,1,0.37,0.99,1,0.99,1,0.7,0.52,0.24,0.33
Alkaline_phosphatase,1,1,0.24,1,0.92,1,0.92,0.98,0.88,1,0.71
Ankle_spacing_width_left,1,1,1,0.83,0.93,0.83,0.93,0.99,0.99,0.98,0.96
Ankle_spacing_width,1,1,0.65,1,0.98,1,0.98,0.74,0.92,0.38,0.58
Ankle_spacing_width_right,1,1,0.99,0.98,1,0.98,1,1,1,1,1
Apolipoprotein_A,1,1,0.46,0.96,0.82,0.96,0.82,0.04,0.03,0.03,0.07
Apolipoprotein_B,1,1,0.81,0.95,0.51,0.95,0.51,0.57,0.44,0.66,0.28
Arm_fat_free_mass_left,1,1,0.71,0.94,0.41,0.94,0.41,0.8,0.73,0.8,0.65
Arm_fat_free_mass_right,1,1,0.87,0.97,0.72,0.97,0.72,0.96,0.93,0.93,0.92
Arm_fat_mass_left,1,1,0.56,1,1,1,1,1,1,1,1
Arm_fat_mass_right,1,1,0.63,1,0.72,1,0.73,1,1,0.96,0.86
Arm_fat_percentage_left,1,1,0.81,0.54,0.94,0.54,0.94,0.99,0.99,0.94,0.82
Arm_fat_percentage_right,1,1,0.72,0.62,0.96,0.62,0.96,0.58,0.56,0.63,0.49
Arm_predicted_mass_left,1,1,0.23,0.9,0.65,0.9,0.65,0.79,0.85,0.36,0.18
Arm_predicted_mass_right,1,1,0.72,0.9,0.49,0.9,0.49,0.84,0.8,0.84,0.68
Aspartate_aminotransferase,1,1,0.55,0.95,0.77,0.95,0.77,0.98,0.98,0.85,0.92
Basal_metabolic_rate,1,1,0.72,0.82,0.9,0.82,0.9,0.8,0.74,0.54,0.39
Birth_weight,1,1,0.91,1,0.87,1,0.87,0.99,0.99,0.99,0.99
Body_fat_percentage,1,1,0.59,0.59,0.4,0.59,0.4,0.98,0.96,0.97,0.88
Body_mass_index_BMI,1,1,0.36,0.96,0.3,0.96,0.3,1,0.93,1,0.82
Calcium,1,1,1,0.97,0.8,0.96,0.8,0.98,0.96,0.87,0.69
Cholesterol,1,1,0.8,0.88,0.23,0.89,0.23,0.9,0.72,0.89,0.67
C_reactive_protein,1,1,0.55,0.9,0.96,0.89,0.96,0.62,0.47,0.7,0.92
Creatinine,1,1,0.55,0.95,0.5,0.95,0.5,1,0.98,1,1
Cystatin_C,1,1,0.29,0.92,0.82,0.92,0.82,0.95,0.96,0.98,0.94
Diastolic_blood_pressure_automated_reading,1,1,0.44,1,0.73,1,0.73,0.91,0.77,0.96,0.76
Eosinophill_count,1,1,0.12,1,0.91,1,0.91,0.92,0.83,0.72,0.38
Forced_expiratory_volume_in_1_second_FEV1,1,1,1,1,0.94,1,0.94,0.98,0.94,0.93,0.8
Forced_vital_capacity_FVC,1,1,1,0.76,0.99,0.75,0.99,0.8,0.8,0.68,0.59
Gamma_glutamyltransferase,1,1,0.26,0.82,0.45,0.82,0.45,0.99,0.98,0.91,0.43
Glycated_haemoglobin_HbA1c,1,1,0.45,1,0.47,1,0.47,0.98,0.84,0.92,0.88
Haematocrit_percentage,1,1,1,1,0.94,1,0.94,0.75,0.72,0.57,0.58
Haemoglobin_concentration,1,1,0.99,0.89,0.91,0.89,0.91,0.97,0.98,0.96,0.99
HDL_cholesterol,1,1,0.6,0.77,0.8,0.77,0.8,0.75,0.53,0.81,0.94
Heel_bone_mineral_density_BMD_left,1,1,1,0.99,0.55,0.99,0.55,0.55,0.5,0.36,0.5
Heel_bone_mineral_density_BMD,1,1,0.39,1,0.94,1,0.95,0.99,0.94,0.95,0.96
Heel_bone_mineral_density_BMD_right,1,1,0.76,0.93,0.63,0.93,0.63,0.9,0.81,0.56,0.43
Heel_bone_mineral_density_BMD_T_score_automated_left,1,1,0.91,1,0.37,1,0.37,0.41,0.36,0.27,0.3
Heel_bone_mineral_density_BMD_T_score_automated,1,1,0.48,1,0.58,1,0.58,0.97,0.88,0.99,0.92
Heel_bone_mineral_density_BMD_T_score_automated_right,1,1,0.61,0.96,0.92,0.96,0.92,0.77,0.84,0.61,0.64
Heel_Broadband_ultrasound_attenuation_direct_entry,1,1,0.54,1,0.97,1,0.97,0.56,0.74,0.51,0.8
Heel_broadband_ultrasound_attenuation_left,0.98,0.99,0.77,0.99,0.44,0.99,0.44,0.58,0.58,0.25,0.33
Heel_broadband_ultrasound_attenuation_right,1,1,0.6,0.97,0.48,0.97,0.48,0.69,0.44,0.15,0.11
Heel_quantitative_ultrasound_index_QUI_direct_entry_left,1,1,0.91,1,0.37,1,0.37,0.39,0.36,0.26,0.28
