PHENO,PEARSON_CORR,SPEARMAN_RHO,COSINE_SIM,TOP10PCT_PREV,TOP1PCT_PREV,TOP10PCT_OR,TOP1PCT_OR,PERCENTILE_AVE_PREV_SLOPE,PERCENTILE_AVE_PREV_SPEARMAN,PERCENTILE_AVE_PHENO_SLOPE,PERCENTILE_AVE_PHENO_SPEARMAN
Alanine_aminotransferase,1,1,1,1,0.98,1,0.98,0.82,0.7,0.93,0.98
Albumin,1,1,0.05,0.99,0.99,0.99,0.99,0.81,0.68,0.69,0.47
Alkaline_phosphatase,1,1,0,1,0.99,1,0.99,0.98,0.79,0.99,0.49
Ankle_spacing_width_left,1,1,1,1,0.97,1,0.97,1,1,1,0.99
Ankle_spacing_width,1,1,0.98,1,0.99,1,0.99,0.97,0.99,0.79,0.92
Ankle_spacing_width_right,1,1,1,1,1,1,1,1,1,1,1
Apolipoprotein_A,1,1,0.41,1,0.79,1,0.79,0.03,0.01,0,0.01
Apolipoprotein_B,1,1,0.14,1,0.13,1,0.13,0.55,0.29,0.82,0.14
Arm_fat_free_mass_left,1,1,0.79,0.99,0.27,0.99,0.27,0.63,0.5,0.34,0.42
Arm_fat_free_mass_right,1,1,0.55,0.99,0.73,0.99,0.73,0.98,0.95,0.95,0.96
Arm_fat_mass_left,1,1,0.52,1,1,1,1,1,1,1,1
Arm_fat_mass_right,1,1,0.82,1,0.93,1,0.94,1,1,0.99,0.99
Arm_fat_percentage_left,1,1,0.48,0.43,0.46,0.43,0.46,1,1,0.97,0.81
Arm_fat_percentage_right,1,1,0.35,0.26,0.72,0.26,0.72,0.26,0.19,0.54,0.45
Arm_predicted_mass_left,1,1,0.52,0.97,0.4,0.97,0.4,0.51,0.53,0.05,0.09
Arm_predicted_mass_right,1,1,0.56,0.91,0.47,0.91,0.47,0.86,0.88,0.9,0.72
Aspartate_aminotransferase,1,1,0.22,0.92,0.48,0.92,0.48,0.97,0.99,0.63,0.86
Basal_metabolic_rate,1,1,0.31,0.95,0.76,0.95,0.76,0.95,0.86,0.69,0.63
Birth_weight,1,1,1,1,1,1,1,1,1,1,1
Body_fat_percentage,1,1,0.14,0.34,0.23,0.34,0.23,0.97,0.92,0.98,0.89
Body_mass_index_BMI,1,1,0,1,0.33,1,0.33,1,0.99,1,0.94
Calcium,1,1,1,1,0.71,1,0.71,1,0.98,0.93,0.76
Cholesterol,1,1,0.62,0.76,0.11,0.76,0.11,0.92,0.57,0.81,0.49
C_reactive_protein,1,1,0.67,1,1,1,1,0.44,0.49,0.41,0.87
Creatinine,1,1,0,0.95,0.51,0.96,0.51,1,0.99,1,0.98
Cystatin_C,1,1,0,0.94,0.67,0.94,0.67,0.81,0.85,0.9,0.76
Diastolic_blood_pressure_automated_reading,1,1,0,1,0.9,1,0.9,0.95,0.91,0.99,0.92
Eosinophill_count,1,1,0.2,1,1,1,1,0.94,0.98,0.54,0.43
Forced_expiratory_volume_in_1_second_FEV1,1,1,1,1,0.98,1,0.98,1,1,1,1
Forced_vital_capacity_FVC,1,1,1,0.61,0.92,0.61,0.92,0.8,0.82,0.75,0.69
Gamma_glutamyltransferase,1,1,0,0.89,0.51,0.89,0.51,0.96,0.99,0.73,0.22
Glycated_haemoglobin_HbA1c,1,1,0.54,1,0.32,1,0.32,0.97,0.64,0.79,0.69
Haematocrit_percentage,1,1,1,1,0.98,1,0.98,0.43,0.64,0.37,0.47
Haemoglobin_concentration,1,1,1,0.99,0.9,0.99,0.9,0.9,0.99,0.86,0.99
HDL_cholesterol,1,1,0,0.89,0.92,0.88,0.92,0.63,0.39,0.53,0.97
Heel_bone_mineral_density_BMD_left,1,1,1,1,0.46,1,0.46,0.6,0.65,0.27,0.79
Heel_bone_mineral_density_BMD,1,1,0,1,0.89,1,0.9,1,0.99,0.96,0.99
Heel_bone_mineral_density_BMD_right,1,1,0.82,1,0.29,1,0.29,0.86,0.69,0.39,0.23
Heel_bone_mineral_density_BMD_T_score_automated_left,1,1,1,1,0.2,1,0.2,0.59,0.44,0.11,0.35
Heel_bone_mineral_density_BMD_T_score_automated,1,1,0.01,1,0.8,1,0.8,0.96,0.9,0.97,0.97
Heel_bone_mineral_density_BMD_T_score_automated_right,1,1,0.04,0.92,0.86,0.92,0.86,0.74,0.81,0.4,0.75
Heel_Broadband_ultrasound_attenuation_direct_entry,1,1,0.28,1,1,1,1,0.87,0.8,0.79,0.94
Heel_broadband_ultrasound_attenuation_left,1,1,0.74,0.94,0.03,0.94,0.03,0.45,0.28,0.09,0.11
Heel_broadband_ultrasound_attenuation_right,1,1,0.84,1,0.52,1,0.52,0.84,0.57,0.47,0.26
Heel_quantitative_ultrasound_index_QUI_direct_entry_left,1,1,1,1,0.2,1,0.2,0.6,0.49,0.11,0.32
Heel_quantitative_ultrasound_index_QUI_direct_entry,1,1,0.02,1,0.75,1,0.75,0.98,0.9,0.99,1
Heel_quantitative_ultrasound_index_QUI_direct_entry_right,1,1,0.04,0.92,0.86,0.92,0.86,0.74,0.83,0.4,0.75
High_light_scatter_reticulocyte_count,1,1,0,1,0.66,1,0.66,0.2,0.26,0.38,0.34
High_light_scatter_reticulocyte_percentage,1,1,0.78,1,0.16,1,0.16,0.63,0.71,0.21,0.21
Hip_circumference,1,1,0.57,0.99,0.38,0.99,0.38,0.11,0.39,0.35,0.57
IGF_1,1,1,0,1,0.77,1,0.77,0.8,0.43,0.86,0.48
Immature_reticulocyte_fraction,1,1,0,1,0.95,1,0.95,0.85,0.61,0.75,0.9
Impedance_of_arm_left,1,1,1,1,0.95,1,0.95,1,1,1,1
Impedance_of_arm_right,1,1,0.09,1,0.14,1,0.14,0.69,0.83,0.97,1
Impedance_of_leg_left,1,1,0.13,1,1,1,1,1,0.98,0.95,1
Impedance_of_leg_right,1,1,1,1,1,1,1,1,1,0.97,0.98
Impedance_of_whole_body,1,1,0.8,1,0.68,1,0.68,0.97,0.95,0.86,0.95
LDL_direct,1,1,0,0.68,0.03,0.68,0.03,0.84,0.94,0.72,0.34
