PHENO,PEARSON_CORR,SPEARMAN_RHO,COSINE_SIM,TOP10PCT_PREV,TOP1PCT_PREV,TOP10PCT_OR,TOP1PCT_OR,PERCENTILE_AVE_PREV_SLOPE,PERCENTILE_AVE_PREV_SPEARMAN,PERCENTILE_AVE_PHENO_SLOPE,PERCENTILE_AVE_PHENO_SPEARMAN
Albumin,0.95,1,0.29,0.77,0.98,0.78,0.98,0.47,0.53,0.63,0.87
Ankle_spacing_width_left,0.97,0.97,0.5,0.04,0.81,0.04,0.81,0.76,0.57,0.97,0.98
Ankle_spacing_width,0.99,0.98,0.99,0.29,0.6,0.3,0.6,0.53,0.56,0.31,0.79
Apolipoprotein_A,1,1,0.62,0.96,0.99,0.96,0.99,0.94,0.81,0.46,0.21
Apolipoprotein_B,1,1,0.83,0.91,0.63,0.91,0.63,0.9,0.6,0.87,0.82
Arm_fat_free_mass_left,1,1,0.94,1,0.94,1,0.94,0.75,0.82,0.8,0.99
Arm_fat_free_mass_right,1,1,0.89,0.7,0.66,0.7,0.66,0.95,0.93,0.91,0.84
Arm_predicted_mass_left,1,1,0.93,0.55,0.56,0.55,0.56,0.77,0.42,0.67,0.37
Arm_predicted_mass_right,1,1,0.68,0.9,0.65,0.9,0.65,0.52,0.5,0.67,0.79
Aspartate_aminotransferase,0.98,0.98,0.98,1,0.7,1,0.7,0.16,0.17,0.4,0.33
Basal_metabolic_rate,1,1,0.51,0.54,0.53,0.54,0.53,0.59,0.58,0.82,0.84
Creatinine,0.97,0.98,0.73,0.49,0.91,0.49,0.91,0.92,0.97,0.51,0.64
Cystatin_C,1,1,0.33,0.66,0.76,0.66,0.76,0.95,0.97,0.74,0.91
Eosinophill_count,1,1,0.95,0.92,0.86,0.92,0.86,0.96,0.97,0.91,0.91
Forced_vital_capacity_FVC,1,1,1,1,0.82,1,0.82,0.85,0.94,0.75,0.74
Glycated_haemoglobin_HbA1c,1,1,0.69,1,0.7,1,0.7,0.55,0.52,0.84,0.8
Haematocrit_percentage,1,1,1,0.99,0.56,0.99,0.56,0.69,0.28,0.86,0.96
Heel_bone_mineral_density_BMD,1,1,0.92,0.91,0.69,0.94,0.69,0.82,0.85,0.73,0.78
Heel_bone_mineral_density_BMD_T_score_automated,1,1,0.75,0.63,0.75,0.65,0.75,0.04,0.07,0.09,0.17
Heel_Broadband_ultrasound_attenuation_direct_entry,1,1,0.31,0.72,0.66,0.73,0.66,0.6,0.35,0.83,0.6
Heel_quantitative_ultrasound_index_QUI_direct_entry,1,1,0.75,0.61,0.74,0.64,0.74,0.04,0.05,0.11,0.2
High_light_scatter_reticulocyte_count,1,1,0.74,1,0.69,1,0.69,0.51,0.08,0.39,0.06
High_light_scatter_reticulocyte_percentage,1,1,0.15,1,0.91,1,0.91,0.79,0.47,0.27,0.28
Hip_circumference,1,1,0.64,0.73,0.24,0.73,0.24,0.6,0.56,0.71,0.71
IGF_1,1,1,0,0.82,0.97,0.82,0.97,0.2,0.28,0.23,0.7
Immature_reticulocyte_fraction,1,1,0.66,1,0.92,1,0.92,0.52,0.3,0.47,0.44
Impedance_of_arm_left,1,1,0.79,0.63,0.66,0.63,0.66,0.85,0.78,0.78,0.75
Impedance_of_arm_right,1,1,0.46,0.48,0.99,0.47,0.99,0.32,0.28,0.59,0.56
Impedance_of_leg_left,0.98,0.98,0.98,0.78,0.76,0.78,0.76,0.26,0.24,0.13,0.1
Impedance_of_leg_right,1,1,0.66,0.97,0.92,0.97,0.92,0.99,0.91,0.96,0.78
Impedance_of_whole_body,1,1,0.94,0.98,0.72,0.98,0.72,0.77,0.66,0.89,0.95
LDL_direct,0.93,0.93,0.28,0.82,0.82,0.82,0.82,0.84,0.9,0.56,0.72
Leg_fat_free_mass_left,1,1,0.68,0.93,0.44,0.93,0.44,0.65,0.67,0.71,0.75
Leg_fat_free_mass_right,1,1,0.73,0.99,0.71,0.99,0.71,0.96,0.89,0.89,0.96
Leg_fat_percentage_left,0.99,0.99,0.46,0.93,0.43,0.93,0.43,0.95,0.97,0.96,0.86
Leg_fat_percentage_right,0.99,1,0.79,0.24,0.12,0.24,0.12,0.9,0.9,0.76,0.87
Leg_predicted_mass_left,1,1,0.54,1,0.54,1,0.54,0.82,0.83,0.54,0.53
Leg_predicted_mass_right,1,1,0.81,0.92,0.42,0.92,0.42,0.85,0.9,0.65,0.78
Mean_corpuscular_haemoglobin_concentration,1,1,0.86,0.91,0.78,0.91,0.78,0.97,1,0.86,0.84
Mean_corpuscular_haemoglobin,0.98,0.96,0.61,0.36,0.17,0.35,0.17,0.59,0.25,0.83,0.34
Mean_corpuscular_volume,1,1,0.79,0.91,1,0.91,1,0.87,0.77,0.89,0.98
Mean_reticulocyte_volume,1,0.99,0.27,0.94,0.75,0.94,0.75,0.11,0,0.01,0
Mean_time_to_correctly_identify_matches,0.97,1,0.65,0.84,0.88,0.84,0.88,0.99,1,0.98,0.99
Monocyte_count,0.88,0.88,0.33,0.08,0.36,0.08,0.36,0.5,0.32,0.87,0.62
Neuroticism_score,1,1,0.99,0.89,0.67,0.89,0.67,0.99,0.99,0.96,1
Neutrophill_count,1,0.99,0.14,0.55,0.26,0.55,0.26,0.86,0.93,0.81,0.65
Peak_expiratory_flow_PEF,1,1,0.96,0.48,0.72,0.48,0.72,0.89,0.82,0.77,0.73
Phosphate,1,1,0.59,0.58,0.22,0.59,0.22,0.41,0.63,0.6,0.61
Platelet_count,1,1,0.34,0.52,0.36,0.52,0.36,0.54,0.16,0.93,0.82
Platelet_crit,0.96,0.96,0.33,0.47,0.32,0.47,0.32,0.8,0.72,0.65,0.27
Red_blood_cell_erythrocyte_count,1,1,0.64,0.93,0.04,0.93,0.04,0.44,0.21,0.33,0.24
Red_blood_cell_erythrocyte_distribution_width,1,0.98,0.38,0.92,0.64,0.92,0.64,0.24,0.26,0.42,0.39
Reticulocyte_count,1,1,0.05,0.91,0.63,0.91,0.63,0.54,0.45,0.82,0.76
Reticulocyte_percentage,1,1,0.58,0.77,0.84,0.77,0.84,0.91,0.92,0.59,0.89
SHBG,1,1,0.93,0.86,0.57,0.86,0.57,0.51,0.64,0.45,0.25
Sitting_height,1,1,0.76,0.94,0.22,0.94,0.22,0.59,0.55,0.26,0.14
Speed_of_sound_through_heel,1,1,0.62,0.12,0.7,0.11,0.7,0.05,0.03,0.01,0.04
Standing_height,1,1,1,0.99,0.02,0.99,0.02,0.81,0.48,0.91,0.82
Systolic_blood_pressure_automated_reading,0.98,0.96,0.92,0.37,0.78,0.37,0.78,0.93,0.95,0.98,0.95
Testosterone,1,1,0.1,0.09,0.35,0.09,0.35,0.02,0.25,1,1
Total_bilirubin,1,1,0.48,0.83,0.61,0.83,0.61,0.51,0.22,1,0.96
Total_protein,1,1,0.68,0.98,0.5,0.98,0.5,0.9,0.66,0.83,0.92
Trunk_fat_free_mass,1,1,0.7,0.71,0.6,0.71,0.6,0.22,0.4,0.1,0.06
Trunk_predicted_mass,1,1,0.72,0.73,0.28,0.73,0.28,0.8,0.6,0.55,0.38
Urate,0.91,0.9,0.75,0.2,0.66,0.2,0.66,0.31,0.31,0.54,0.63
Weight,1,1,0.75,1,0.99,1,0.99,0.98,0.97,0.95,1
Whole_body_fat_free_mass,1,1,1,0.9,0.74,0.9,0.74,0.93,0.93,0.81,0.86
Whole_body_water_mass,1,1,0.99,0.79,0.55,0.79,0.55,0.51,0.57,0.36,0.17
