PHENO,PEARSON_CORR,SPEARMAN_RHO,COSINE_SIM,TOP10PCT_PREV,TOP1PCT_PREV,TOP10PCT_OR,TOP1PCT_OR,PERCENTILE_AVE_PREV_SLOPE,PERCENTILE_AVE_PREV_SPEARMAN,PERCENTILE_AVE_PHENO_SLOPE,PERCENTILE_AVE_PHENO_SPEARMAN
Alanine_aminotransferase,1,1,1,1,0.96,1,0.96,0.91,0.81,0.93,0.97
Albumin,1,1,0.6,0.92,0.99,0.92,0.99,0.87,0.69,0.77,0.51
Alkaline_phosphatase,1,1,0.13,1,0.96,1,0.96,0.91,0.8,0.99,0.55
Ankle_spacing_width_left,1,1,1,0.99,1,0.99,1,1,1,1,1
Ankle_spacing_width,1,1,0.77,1,0.99,1,0.99,0.95,0.98,0.74,0.84
Ankle_spacing_width_right,1,1,1,1,1,1,1,1,1,1,1
Apolipoprotein_A,1,1,0.74,0.98,0.95,0.98,0.95,0.11,0.09,0.09,0.11
Apolipoprotein_B,1,1,0.12,1,0.48,1,0.48,0.61,0.41,0.8,0.3
Arm_fat_free_mass_left,1,1,0.9,0.99,0.44,0.99,0.45,0.71,0.63,0.55,0.6
Arm_fat_free_mass_right,1,1,0.78,1,0.9,1,0.9,1,0.99,0.98,0.96
Arm_fat_mass_left,1,1,0.84,1,1,1,1,1,1,1,1
Arm_fat_mass_right,1,1,0.92,1,0.96,1,0.97,1,1,0.98,0.99
Arm_fat_percentage_left,0.99,0.99,0.84,0.69,0.75,0.69,0.75,0.99,0.99,0.97,0.86
Arm_fat_percentage_right,1,1,0.78,0.55,0.84,0.55,0.84,0.38,0.34,0.73,0.55
Arm_predicted_mass_left,1,1,0.87,0.99,0.64,0.99,0.64,0.7,0.66,0.17,0.25
Arm_predicted_mass_right,1,1,0.82,0.96,0.7,0.96,0.7,0.9,0.91,0.99,0.87
Aspartate_aminotransferase,1,1,0.16,0.92,0.7,0.92,0.7,0.99,0.99,0.8,0.95
Basal_metabolic_rate,1,1,0.64,0.95,0.7,0.95,0.7,0.96,0.83,0.7,0.58
Birth_weight,1,1,1,1,0.99,1,0.99,1,1,1,1
