PHENO,PEARSON_CORR,SPEARMAN_RHO,COSINE_SIM,TOP10PCT_PREV,TOP1PCT_PREV,TOP10PCT_OR,TOP1PCT_OR,PERCENTILE_AVE_PREV_SLOPE,PERCENTILE_AVE_PREV_SPEARMAN,PERCENTILE_AVE_PHENO_SLOPE,PERCENTILE_AVE_PHENO_SPEARMAN
Alanine_aminotransferase,1,1,1,0.98,0.93,0.98,0.93,0.61,0.28,0.84,0.83
Albumin,1,1,0.35,0.8,1,0.8,1,0.78,0.67,0.42,0.45
Alkaline_phosphatase,1,1,0.04,0.96,0.86,0.96,0.86,1,0.9,1,0.6
Ankle_spacing_width_left,1,1,1,0.77,1,0.77,1,0.96,0.92,0.86,0.89
Ankle_spacing_width,1,1,0.57,1,0.98,1,0.98,0.69,0.92,0.36,0.39
Ankle_spacing_width_right,1,1,0.93,0.99,1,0.99,1,1,1,0.97,0.92
Apolipoprotein_A,1,1,0.49,0.96,0.82,0.96,0.82,0.09,0.09,0,0.05
Apolipoprotein_B,1,1,0.86,0.89,0.35,0.89,0.35,0.53,0.55,0.65,0.33
Arm_fat_free_mass_left,1,1,0.62,0.98,0.14,0.98,0.14,0.81,0.75,0.78,0.57
Arm_fat_free_mass_right,1,1,0.89,0.96,0.76,0.96,0.76,1,0.99,0.94,0.9
Arm_fat_mass_left,1,1,0.69,1,0.99,1,0.99,1,1,1,1
Arm_fat_mass_right,1,1,0.77,1,0.37,1,0.38,0.97,0.96,0.94,0.71
Arm_fat_percentage_left,1,0.98,0.89,0.61,0.65,0.61,0.65,0.99,0.97,0.98,0.84
Arm_fat_percentage_right,1,1,0.89,0.51,0.96,0.51,0.96,0.46,0.43,0.61,0.44
Arm_predicted_mass_left,1,1,0.12,0.87,0.71,0.87,0.71,0.86,0.88,0.28,0.17
Arm_predicted_mass_right,1,1,0.67,0.71,0.48,0.71,0.48,0.72,0.64,0.78,0.46
Aspartate_aminotransferase,1,1,0.46,0.91,0.68,0.91,0.68,0.96,0.96,0.84,0.87
Basal_metabolic_rate,1,1,0.68,0.69,0.94,0.69,0.94,0.72,0.57,0.44,0.23
Birth_weight,1,1,0.79,1,0.72,1,0.72,0.99,0.99,0.99,0.99
Body_fat_percentage,1,0.99,0.74,0.7,0.31,0.7,0.31,0.98,0.98,1,0.86
Body_mass_index_BMI,1,1,0.36,0.83,0.32,0.83,0.32,1,0.96,0.97,0.77
Calcium,1,1,0.97,0.5,0.69,0.48,0.69,0.98,0.95,0.86,0.63
Cholesterol,1,1,0.79,0.8,0.07,0.8,0.07,0.8,0.64,0.75,0.69
C_reactive_protein,1,1,0.51,0.7,0.97,0.71,0.97,0.62,0.36,0.69,0.89
Creatinine,1,1,0.69,0.96,0.41,0.96,0.41,1,0.98,1,1
Cystatin_C,1,1,0.15,0.93,0.69,0.94,0.69,0.93,0.91,0.97,0.92
Diastolic_blood_pressure_automated_reading,1,1,0.36,0.98,0.42,0.98,0.42,0.83,0.48,0.94,0.63
Eosinophill_count,1,1,0.04,1,0.9,1,0.9,0.86,0.93,0.64,0.39
Forced_expiratory_volume_in_1_second_FEV1,1,1,1,1,0.85,1,0.85,0.92,0.79,0.77,0.61
Forced_vital_capacity_FVC,1,1,1,0.59,1,0.59,1,0.78,0.75,0.51,0.6
Gamma_glutamyltransferase,1,1,0.28,0.32,0.63,0.32,0.63,0.94,0.95,0.77,0.18
Glycated_haemoglobin_HbA1c,1,1,0.28,1,0.15,1,0.15,0.93,0.69,0.91,0.82
Haematocrit_percentage,1,1,0.99,0.99,1,0.99,1,0.53,0.43,0.38,0.37
Haemoglobin_concentration,1,1,0.9,0.88,0.86,0.87,0.86,0.96,0.98,0.96,0.99
