PHENO,PEARSON_CORR,SPEARMAN_RHO,COSINE_SIM,TOP10PCT_PREV,TOP1PCT_PREV,TOP10PCT_OR,TOP1PCT_OR,PERCENTILE_AVE_PREV_SLOPE,PERCENTILE_AVE_PREV_SPEARMAN,PERCENTILE_AVE_PHENO_SLOPE,PERCENTILE_AVE_PHENO_SPEARMAN
Albumin,0.94,0.94,0,0.33,0.79,0.33,0.79,0,0.25,0,0.36
Ankle_spacing_width_left,0.96,0.94,0.29,0.03,0.64,0.03,0.64,0.62,0.43,0.78,0.85
Ankle_spacing_width,0.91,0.91,0.97,0.01,0.03,0.01,0.03,0.28,0.37,0.17,0.66
Apolipoprotein_A,1,1,0.39,0.6,0.85,0.59,0.85,0.8,0.7,0.05,0.01
Apolipoprotein_B,0.91,0.84,0.47,0.61,0.57,0.61,0.57,0.72,0.39,0.84,0.87
Arm_fat_free_mass_left,1,1,0.94,0.99,0.72,0.99,0.72,0.55,0.71,0.6,0.98
Arm_fat_free_mass_right,1,1,0.78,0.66,0.87,0.66,0.87,0.84,0.82,0.7,0.68
Arm_predicted_mass_left,1,1,0.81,0.14,0.39,0.14,0.39,0.49,0.17,0.53,0.14
Arm_predicted_mass_right,1,1,0.51,0.88,0.52,0.88,0.52,0.06,0.18,0.42,0.61
Aspartate_aminotransferase,0.96,0.96,0.96,0.92,0.37,0.92,0.37,0.13,0.09,0.34,0.32
Basal_metabolic_rate,1,1,0.15,0.06,0.17,0.06,0.17,0.44,0.56,0.78,0.77
Creatinine,0.94,0.94,0.06,0.25,0.88,0.25,0.88,0.79,0.94,0.08,0.29
Cystatin_C,1,1,0,0.12,0.38,0.12,0.38,0.99,0.98,0.52,0.69
Eosinophill_count,1,1,1,0.75,0.59,0.75,0.59,0.95,0.93,0.95,0.91
Forced_vital_capacity_FVC,1,1,1,1,0.43,1,0.43,0.59,0.78,0.35,0.32
Glycated_haemoglobin_HbA1c,1,1,0.84,0.97,0.11,0.97,0.11,0.07,0.18,0.53,0.54
Haematocrit_percentage,1,1,1,0.85,0.17,0.83,0.17,0.29,0.03,0.59,0.82
Heel_bone_mineral_density_BMD,0.97,0.97,0.74,0.56,0.43,0.56,0.43,0.86,0.87,0.32,0.56
Heel_bone_mineral_density_BMD_T_score_automated,0.99,0.99,0.74,0.33,0.57,0.36,0.57,0,0,0,0.02
Heel_Broadband_ultrasound_attenuation_direct_entry,0.99,0.99,0,0.66,0.23,0.65,0.23,0.37,0.14,0.77,0.45
Heel_quantitative_ultrasound_index_QUI_direct_entry,0.99,0.99,0.74,0.33,0.57,0.36,0.57,0,0,0,0.01
High_light_scatter_reticulocyte_count,1,1,0.95,0.66,0.03,0.65,0.03,0.04,0,0.02,0
High_light_scatter_reticulocyte_percentage,1,1,0,0.96,0.93,0.96,0.93,0.63,0.27,0.14,0.16
Hip_circumference,0.96,0.96,0.74,0.69,0,0.69,0,0.24,0.26,0.28,0.28
IGF_1,0.93,0.93,0,0.54,0.43,0.54,0.43,0,0.02,0,0.3
Immature_reticulocyte_fraction,1,1,0.47,1,0.93,1,0.93,0.13,0.02,0.05,0.16
Impedance_of_arm_left,1,1,0.26,0.34,0.35,0.34,0.35,0.43,0.43,0.36,0.41
Impedance_of_arm_right,0.97,0.96,0.11,0.18,0.96,0.18,0.96,0.01,0.01,0.13,0.27
Impedance_of_leg_left,0.94,0.94,0.77,0.56,0.41,0.56,0.41,0.03,0.08,0,0
Impedance_of_leg_right,1,1,0.36,0.99,0.75,0.99,0.75,0.95,0.85,0.83,0.41
Impedance_of_whole_body,1,1,0.91,0.91,0.2,0.92,0.2,0.51,0.34,0.7,0.69
LDL_direct,0.88,0.83,0.12,0.22,0.78,0.22,0.78,0.75,0.72,0.18,0.45
Leg_fat_free_mass_left,1,1,0.36,0.89,0.08,0.89,0.08,0.49,0.44,0.62,0.61
Leg_fat_free_mass_right,1,1,0.64,0.96,0.38,0.96,0.38,0.93,0.85,0.81,0.87
Leg_fat_percentage_left,0.99,0.99,0,0.87,0.11,0.87,0.11,0.78,0.87,0.85,0.69
Leg_fat_percentage_right,0.83,0.83,0.36,0.1,0,0.1,0,0.72,0.75,0.53,0.59
Leg_predicted_mass_left,1,1,0,0.99,0.12,0.99,0.12,0.66,0.64,0.18,0.17
Leg_predicted_mass_right,1,1,0.94,0.82,0.07,0.83,0.07,0.53,0.66,0.29,0.48
Mean_corpuscular_haemoglobin_concentration,1,1,0.4,0.86,0.74,0.86,0.74,0.88,0.97,0.57,0.66
Mean_corpuscular_haemoglobin,0.97,0.97,0.3,0.23,0,0.23,0,0.44,0.11,0.67,0.06
Mean_corpuscular_volume,1,1,0.3,0.82,1,0.82,1,0.86,0.5,0.68,0.94
Mean_reticulocyte_volume,0.78,0.76,0,0.91,0.32,0.91,0.32,0,0,0,0
Mean_time_to_correctly_identify_matches,0.92,0.96,0.28,0.55,0.71,0.55,0.71,0.96,0.96,0.89,0.89
Monocyte_count,0.96,0.95,0,0,0.35,0,0.35,0.27,0.13,0.74,0.54
Neuroticism_score,0.97,0.97,0.93,0.86,0.42,0.86,0.42,0.97,0.97,0.97,0.97
Neutrophill_count,0.91,0.81,0,0.02,0,0.02,0,0.53,0.66,0.54,0.5
Peak_expiratory_flow_PEF,0.99,0.99,0.83,0.04,0.59,0.04,0.59,0.83,0.7,0.65,0.6
Phosphate,0.97,0.97,0.25,0.1,0.01,0.1,0.01,0.24,0.52,0.57,0.51
Platelet_count,0.99,0.99,0,0.92,0.48,0.92,0.48,0.02,0.01,0.06,0.57
Platelet_crit,0.97,0.96,0,0.02,0.03,0.02,0.03,0.69,0.52,0.08,0.04
Red_blood_cell_erythrocyte_count,0.99,0.99,0.51,0.54,0,0.54,0,0.19,0.07,0.05,0.01
Red_blood_cell_erythrocyte_distribution_width,0.97,0.97,0.36,0.9,0.61,0.9,0.61,0.07,0.13,0.12,0.16
Reticulocyte_count,0.94,0.94,0,0.51,0.15,0.56,0.15,0.38,0.45,0.47,0.36
Reticulocyte_percentage,0.97,0.97,0.48,0.44,0.61,0.44,0.61,0.73,0.49,0.13,0.43
SHBG,0.94,0.96,0.88,0.94,0.5,0.94,0.5,0.27,0.48,0.09,0.09
Sitting_height,1,1,0.66,0.91,0.01,0.91,0.01,0.31,0.28,0.04,0.02
Speed_of_sound_through_heel,0.97,0.97,0.09,0,0.17,0,0.17,0,0,0,0.01
Standing_height,1,1,0.97,0.99,0,0.99,0,0.64,0.21,0.75,0.63
Systolic_blood_pressure_automated_reading,0.94,0.94,0.32,0.06,0.53,0.06,0.53,0.53,0.74,0.94,0.87
Testosterone,0.96,0.96,0,0,0,0,0,0,0.01,0.97,0.96
Total_bilirubin,0.99,0.99,0,0.76,0.57,0.75,0.57,0.17,0.08,0.96,0.87
Total_protein,0.99,0.99,0.16,0.99,0.1,0.99,0.1,0.74,0.38,0.44,0.63
Trunk_fat_free_mass,1,1,0.49,0.43,0.42,0.43,0.42,0.03,0.1,0,0
Trunk_predicted_mass,1,1,0.42,0.52,0.02,0.52,0.02,0.53,0.34,0.22,0.18
Urate,0.72,0.72,0.11,0.15,0.12,0.15,0.12,0.21,0.35,0.18,0.49
Weight,1,1,0.68,1,0.98,1,0.98,0.98,0.89,0.79,0.93
Whole_body_fat_free_mass,1,1,0.99,0.74,0.65,0.74,0.65,0.88,0.76,0.8,0.75
Whole_body_water_mass,1,1,0.99,0.45,0.46,0.45,0.46,0.11,0.3,0.07,0
