PHENO,PEARSON_CORR,SPEARMAN_RHO,COSINE_SIM,TOP10PCT_PREV,TOP1PCT_PREV,TOP10PCT_OR,TOP1PCT_OR,PERCENTILE_AVE_PREV_SLOPE,PERCENTILE_AVE_PREV_SPEARMAN,PERCENTILE_AVE_PHENO_SLOPE,PERCENTILE_AVE_PHENO_SPEARMAN
Alanine_aminotransferase,1,1,1,0.96,0.79,0.96,0.79,0.76,0.4,0.92,0.84
Albumin,1,1,0.66,0.94,1,0.94,1,0.57,0.51,0.16,0.12
Alkaline_phosphatase,1,1,0.24,0.89,1,0.89,1,0.96,0.87,0.9,0.56
Ankle_spacing_width_left,1,1,1,0.44,0.81,0.44,0.81,0.95,0.94,0.77,0.77
Ankle_spacing_width,1,1,0.45,0.91,0.8,0.91,0.8,0.74,0.91,0.26,0.32
Ankle_spacing_width_right,1,1,0.83,0.73,0.99,0.74,0.99,0.96,0.96,0.67,0.56
Apolipoprotein_A,1,1,0.55,0.88,0.82,0.88,0.82,0.03,0.03,0.03,0.05
Apolipoprotein_B,1,1,0.57,0.86,0.24,0.86,0.24,0.42,0.46,0.55,0.22
Arm_fat_free_mass_left,1,1,0.57,0.8,0.22,0.8,0.23,0.69,0.6,0.62,0.56
Arm_fat_free_mass_right,1,1,0.4,0.87,0.31,0.87,0.31,0.96,0.89,0.9,0.88
Arm_fat_mass_left,1,1,0.2,1,0.69,1,0.69,0.93,0.97,0.97,0.88
Arm_fat_mass_right,1,1,0.21,0.97,0.39,0.97,0.39,0.88,0.88,0.77,0.4
Arm_fat_percentage_left,1,1,0.42,0.75,0.92,0.75,0.92,0.94,0.93,0.84,0.69
Arm_fat_percentage_right,1,0.99,0.86,0.42,0.79,0.42,0.79,0.39,0.4,0.54,0.49
Arm_predicted_mass_left,1,1,0.31,0.81,0.75,0.81,0.75,0.59,0.55,0.14,0.14
Arm_predicted_mass_right,1,1,0.41,0.8,0.6,0.8,0.6,0.67,0.63,0.76,0.58
Aspartate_aminotransferase,1,1,0.52,0.95,0.39,0.95,0.39,0.99,0.98,0.8,0.81
Basal_metabolic_rate,1,1,0.55,0.69,0.53,0.69,0.53,0.67,0.45,0.43,0.23
Birth_weight,0.96,0.97,0.88,0.78,0.58,0.78,0.58,0.74,0.77,0.92,0.87
Body_fat_percentage,0.95,0.84,0.65,0.55,0.73,0.55,0.73,0.95,0.97,0.87,0.83
Body_mass_index_BMI,1,0.99,0.51,0.81,0.49,0.81,0.49,0.87,0.8,0.9,0.63
Calcium,1,1,0.83,0.57,0.87,0.56,0.87,0.93,0.94,0.73,0.63
Cholesterol,1,1,0.72,0.81,0.21,0.81,0.21,0.84,0.64,0.76,0.68
C_reactive_protein,1,1,0.48,0.77,0.95,0.77,0.95,0.64,0.47,0.57,0.91
Creatinine,1,1,0.62,0.86,0.77,0.86,0.77,0.99,0.95,1,1
Cystatin_C,1,1,0.5,0.79,0.46,0.8,0.46,0.99,0.92,0.99,0.83
Diastolic_blood_pressure_automated_reading,1,1,0.27,0.89,0.65,0.89,0.65,0.6,0.4,0.83,0.56
Eosinophill_count,1,1,0.07,1,0.83,1,0.83,0.74,0.82,0.46,0.18
Forced_expiratory_volume_in_1_second_FEV1,1,1,1,0.99,0.72,0.99,0.72,0.82,0.71,0.7,0.51
Forced_vital_capacity_FVC,1,1,0.91,0.33,0.89,0.33,0.89,0.66,0.71,0.51,0.48
Gamma_glutamyltransferase,1,1,0.61,0.48,0.33,0.48,0.33,0.92,0.97,0.83,0.21
