PHENO,PEARSON_CORR,SPEARMAN_RHO,COSINE_SIM,TOP10PCT_PREV,TOP1PCT_PREV,TOP10PCT_OR,TOP1PCT_OR,PERCENTILE_AVE_PREV_SLOPE,PERCENTILE_AVE_PREV_SPEARMAN,PERCENTILE_AVE_PHENO_SLOPE,PERCENTILE_AVE_PHENO_SPEARMAN
Albumin,0.95,1,0,0.35,0.92,0.35,0.92,0.26,0.46,0.16,0.79
Ankle_spacing_width_left,0.97,0.97,0.5,0.04,0.71,0.04,0.71,0.74,0.56,0.96,0.98
Ankle_spacing_width,0.99,0.98,0.99,0.01,0.19,0.01,0.19,0.28,0.4,0.17,0.72
Apolipoprotein_A,1,1,0.3,0.93,0.89,0.93,0.89,0.87,0.73,0.18,0.05
Apolipoprotein_B,0.98,0.96,0.43,0.88,0.39,0.88,0.39,0.8,0.48,0.8,0.74
Arm_fat_free_mass_left,1,1,0.89,0.98,0.84,0.98,0.84,0.56,0.68,0.67,0.99
Arm_fat_free_mass_right,1,1,0.73,0.45,0.4,0.45,0.4,0.9,0.89,0.79,0.71
Arm_predicted_mass_left,1,1,0.88,0.26,0.36,0.26,0.36,0.62,0.24,0.44,0.12
Arm_predicted_mass_right,1,1,0.42,0.85,0.35,0.85,0.35,0.26,0.24,0.36,0.6
Aspartate_aminotransferase,0.98,0.98,0.98,0.99,0.49,0.99,0.49,0.03,0.03,0.25,0.13
Basal_metabolic_rate,1,1,0.22,0.2,0.11,0.2,0.11,0.48,0.5,0.8,0.81
Creatinine,0.97,0.98,0.2,0.49,0.91,0.49,0.91,0.92,0.97,0.42,0.59
Cystatin_C,1,1,0,0.37,0.57,0.37,0.57,0.92,0.95,0.55,0.85
Eosinophill_count,1,1,0.91,0.87,0.77,0.87,0.77,0.93,0.93,0.82,0.85
Forced_vital_capacity_FVC,1,1,1,1,0.63,1,0.63,0.72,0.89,0.51,0.52
Glycated_haemoglobin_HbA1c,1,1,0.4,1,0.5,1,0.5,0.22,0.32,0.57,0.75
Haematocrit_percentage,1,1,1,0.96,0.2,0.96,0.2,0.49,0.1,0.72,0.94
Heel_bone_mineral_density_BMD,1,1,0.57,0.61,0.55,0.65,0.55,0.76,0.79,0.46,0.63
Heel_bone_mineral_density_BMD_T_score_automated,1,1,0.52,0.28,0.43,0.3,0.43,0,0,0,0.02
Heel_Broadband_ultrasound_attenuation_direct_entry,1,1,0,0.64,0.31,0.65,0.31,0.39,0.12,0.67,0.38
Heel_quantitative_ultrasound_index_QUI_direct_entry,1,1,0.52,0.26,0.42,0.29,0.42,0,0,0,0.05
High_light_scatter_reticulocyte_count,1,1,0.62,0.97,0.54,0.97,0.54,0.15,0.01,0.09,0
High_light_scatter_reticulocyte_percentage,1,1,0,0.99,0.89,0.99,0.89,0.6,0.27,0.08,0.11
Hip_circumference,1,0.99,0.49,0.59,0,0.59,0,0.37,0.31,0.47,0.54
IGF_1,1,1,0,0.7,0.88,0.69,0.88,0.03,0.05,0.04,0.45
Immature_reticulocyte_fraction,1,1,0.43,1,0.8,1,0.8,0.2,0.06,0.11,0.14
Impedance_of_arm_left,1,1,0.25,0.32,0.38,0.32,0.38,0.6,0.54,0.55,0.54
Impedance_of_arm_right,1,1,0.13,0.18,0.92,0.18,0.92,0.05,0.05,0.29,0.3
Impedance_of_leg_left,0.98,0.98,0.84,0.53,0.58,0.53,0.58,0.09,0.09,0,0
Impedance_of_leg_right,1,1,0.3,0.97,0.85,0.97,0.85,0.98,0.83,0.95,0.69
Impedance_of_whole_body,1,1,0.85,0.97,0.25,0.97,0.25,0.63,0.45,0.82,0.86
LDL_direct,0.93,0.93,0.09,0.68,0.82,0.68,0.82,0.79,0.81,0.23,0.46
Leg_fat_free_mass_left,1,1,0.24,0.86,0.08,0.86,0.08,0.43,0.44,0.57,0.61
Leg_fat_free_mass_right,1,1,0.53,0.99,0.48,0.99,0.48,0.91,0.81,0.79,0.87
Leg_fat_percentage_left,0.99,0.99,0,0.87,0.1,0.87,0.1,0.87,0.96,0.91,0.72
Leg_fat_percentage_right,0.84,0.85,0.47,0.03,0.05,0.03,0.05,0.73,0.82,0.45,0.61
Leg_predicted_mass_left,1,1,0.01,0.98,0.17,0.98,0.17,0.67,0.67,0.19,0.22
Leg_predicted_mass_right,1,1,0.64,0.9,0.18,0.9,0.18,0.61,0.76,0.36,0.65
Mean_corpuscular_haemoglobin_concentration,1,1,0.77,0.9,0.72,0.9,0.72,0.92,0.99,0.73,0.76
Mean_corpuscular_haemoglobin,0.98,0.96,0.56,0.1,0.02,0.1,0.02,0.24,0.06,0.67,0.06
Mean_corpuscular_volume,1,1,0.64,0.89,1,0.89,1,0.83,0.57,0.71,0.97
Mean_reticulocyte_volume,1,0.98,0,0.94,0.34,0.94,0.34,0.02,0,0,0
Mean_time_to_correctly_identify_matches,0.89,0.95,0.25,0.68,0.81,0.68,0.81,0.97,0.99,0.93,0.98
