PHENO,PEARSON_CORR,SPEARMAN_RHO,COSINE_SIM,TOP10PCT_PREV,TOP1PCT_PREV,TOP10PCT_OR,TOP1PCT_OR,PERCENTILE_AVE_PREV_SLOPE,PERCENTILE_AVE_PREV_SPEARMAN,PERCENTILE_AVE_PHENO_SLOPE,PERCENTILE_AVE_PHENO_SPEARMAN
Alanine_aminotransferase,1,1,1,1,0.94,1,0.94,0.79,0.59,0.85,0.94
Albumin,1,1,0.03,0.86,0.99,0.86,0.99,0.76,0.52,0.54,0.28
Alkaline_phosphatase,1,1,0,1,0.87,1,0.87,0.84,0.69,0.97,0.41
Ankle_spacing_width_left,1,1,1,0.98,0.99,0.98,0.99,1,1,1,1
Ankle_spacing_width,1,1,0.59,1,0.97,1,0.97,0.92,0.98,0.56,0.66
Ankle_spacing_width_right,1,1,1,1,1,1,1,1,1,1,1
Apolipoprotein_A,1,1,0.5,0.98,0.85,0.98,0.85,0.01,0,0,0.01
Apolipoprotein_B,1,1,0,0.99,0.11,0.99,0.11,0.32,0.11,0.58,0.06
Arm_fat_free_mass_left,1,1,0.85,0.99,0.12,0.99,0.13,0.53,0.45,0.27,0.37
Arm_fat_free_mass_right,1,1,0.61,1,0.76,1,0.76,1,0.96,0.96,0.91
Arm_fat_mass_left,1,1,0.7,1,1,1,1,1,1,1,1
Arm_fat_mass_right,1,1,0.87,1,0.87,1,0.88,1,1,0.97,0.96
Arm_fat_percentage_left,0.98,0.98,0.54,0.35,0.55,0.35,0.55,0.98,0.97,0.92,0.72
Arm_fat_percentage_right,1,1,0.42,0.16,0.67,0.16,0.67,0.14,0.08,0.52,0.36
Arm_predicted_mass_left,1,1,0.72,0.99,0.4,0.99,0.4,0.38,0.34,0.01,0.04
Arm_predicted_mass_right,1,1,0.72,0.9,0.48,0.9,0.48,0.73,0.77,0.97,0.71
Aspartate_aminotransferase,1,1,0.08,0.88,0.48,0.88,0.48,0.96,0.95,0.62,0.82
Basal_metabolic_rate,1,1,0.29,0.92,0.58,0.92,0.58,0.84,0.68,0.46,0.28
Birth_weight,1,1,0.98,1,0.96,1,0.96,1,1,1,1
Body_fat_percentage,0.98,0.98,0.22,0.18,0.17,0.18,0.17,0.99,0.97,0.97,0.88
Body_mass_index_BMI,1,1,0,1,0.39,1,0.39,1,0.99,0.99,0.96
Calcium,1,1,1,1,0.48,1,0.48,1,0.98,0.95,0.61
Cholesterol,1,1,0.83,0.8,0.07,0.8,0.07,0.77,0.44,0.67,0.42
C_reactive_protein,1,1,0.73,1,1,1,1,0.31,0.33,0.28,0.89
Creatinine,1,1,0,0.9,0.26,0.9,0.26,0.99,0.97,0.99,1
Cystatin_C,1,1,0,0.9,0.48,0.9,0.48,0.84,0.8,0.95,0.8
Diastolic_blood_pressure_automated_reading,1,1,0,1,0.84,1,0.84,0.84,0.64,0.75,0.68
Eosinophill_count,1,1,0.03,1,1,1,1,0.96,0.95,0.44,0.36
Forced_expiratory_volume_in_1_second_FEV1,1,1,1,1,0.99,1,0.99,0.98,0.96,0.9,0.92
Forced_vital_capacity_FVC,1,1,1,0.27,0.85,0.27,0.85,0.73,0.74,0.52,0.36
Gamma_glutamyltransferase,1,1,0,0.31,0.33,0.31,0.33,0.9,0.96,0.67,0.1
Glycated_haemoglobin_HbA1c,1,1,0.81,1,0,1,0,0.89,0.53,0.85,0.66
Haematocrit_percentage,1,1,0.99,1,0.98,1,0.98,0.27,0.38,0.15,0.16
Haemoglobin_concentration,1,1,0.97,0.9,0.89,0.9,0.89,0.9,0.98,0.81,0.97
HDL_cholesterol,1,1,0,0.78,0.86,0.78,0.86,0.69,0.39,0.64,0.96
Heel_bone_mineral_density_BMD_left,1,1,1,1,0.33,1,0.33,0.33,0.46,0.08,0.51
Heel_bone_mineral_density_BMD,1,1,0,1,0.84,1,0.84,1,0.95,0.95,0.99
Heel_bone_mineral_density_BMD_right,1,1,0.6,1,0.35,1,0.35,0.8,0.69,0.29,0.2
Heel_bone_mineral_density_BMD_T_score_automated_left,1,1,1,1,0.06,1,0.06,0.35,0.3,0.06,0.22
Heel_bone_mineral_density_BMD_T_score_automated,1,1,0,1,0.6,1,0.62,0.93,0.87,0.98,0.92
Heel_bone_mineral_density_BMD_T_score_automated_right,1,1,0.02,0.87,0.87,0.87,0.87,0.77,0.86,0.46,0.66
Heel_Broadband_ultrasound_attenuation_direct_entry,1,1,0.36,1,0.98,1,0.98,0.8,0.76,0.77,0.86
Heel_broadband_ultrasound_attenuation_left,0.99,0.99,0.46,0.93,0.05,0.93,0.05,0.2,0.1,0.04,0.03
Heel_broadband_ultrasound_attenuation_right,1,1,0.41,0.99,0.21,0.99,0.21,0.71,0.48,0.24,0.07
Heel_quantitative_ultrasound_index_QUI_direct_entry_left,1,1,1,1,0.06,1,0.06,0.34,0.33,0.06,0.17
Heel_quantitative_ultrasound_index_QUI_direct_entry,1,1,0.03,1,0.56,1,0.57,0.98,0.8,1,0.98
Heel_quantitative_ultrasound_index_QUI_direct_entry_right,1,1,0.02,0.87,0.87,0.87,0.87,0.77,0.87,0.43,0.66
High_light_scatter_reticulocyte_count,1,1,0,0.96,0.44,0.96,0.44,0.09,0.15,0.22,0.18
High_light_scatter_reticulocyte_percentage,1,1,0.98,1,0.01,1,0.01,0.61,0.62,0.19,0.07
Hip_circumference,1,1,0.7,1,0.2,1,0.2,0.06,0.36,0.25,0.44
IGF_1,1,1,0,1,0.57,1,0.57,0.64,0.33,0.72,0.32
Immature_reticulocyte_fraction,1,1,0,1,0.79,1,0.79,0.35,0.29,0.34,0.63
Impedance_of_arm_left,1,1,0.69,1,0.9,1,0.9,1,1,1,1
Impedance_of_arm_right,1,1,0.04,1,0.04,1,0.04,0.45,0.64,0.92,1
Impedance_of_leg_left,1,1,0.03,1,1,1,1,0.96,0.89,0.64,0.97
Impedance_of_leg_right,1,1,1,1,0.99,1,0.99,1,0.99,0.84,0.79
Impedance_of_whole_body,1,1,0.6,0.99,0.67,0.99,0.67,0.93,0.91,0.78,0.95
LDL_direct,1,1,0,0.57,0.02,0.57,0.02,0.74,0.97,0.56,0.22
Leg_fat_free_mass_left,1,1,1,1,0.93,1,0.93,0.87,0.88,0.98,1
Leg_fat_free_mass_right,1,1,1,1,0.88,1,0.88,0.91,0.93,0.66,0.8
Leg_fat_mass_left,1,1,0.89,1,0.81,1,0.81,1,1,1,1
Leg_fat_mass_right,1,1,0.74,1,0.86,1,0.86,0.99,1,0.98,1
Leg_fat_percentage_left,1,1,0.13,0.95,0.03,0.95,0.03,0.46,0.45,0.67,0.46
Leg_fat_percentage_right,1,1,1,0.94,0.68,0.94,0.68,0.81,0.58,1,1
Leg_predicted_mass_left,1,1,0.49,1,0.36,1,0.36,0.81,0.44,0.95,0.96
Leg_predicted_mass_right,1,1,1,0.99,0.81,0.99,0.81,0.71,0.9,0.38,0.88
Mean_corpuscular_haemoglobin_concentration,0.99,0.98,0,0.96,0.66,0.96,0.66,0.33,0.29,0.52,0.59
Mean_corpuscular_haemoglobin,1,1,0,0.78,0.47,0.78,0.47,0,0,0,0
Mean_corpuscular_volume,1,1,0.5,0.93,0.11,0.93,0.11,0.14,0.07,0.18,0.27
Mean_sphered_cell_volume,1,1,0.74,1,0.99,1,0.99,0.9,0.71,0.89,0.89
Mean_time_to_correctly_identify_matches,1,1,0.91,1,1,1,1,1,1,1,1
Monocyte_count,1,1,0.94,1,0.69,1,0.69,0.23,0.78,0.18,0.79
Neutrophill_count,1,1,0,1,0.54,1,0.54,0.7,0.54,0.69,0.99
Phosphate,1,1,0.38,1,0.96,1,0.96,1,1,0.99,0.96
Platelet_count,1,1,0,1,0.9,1,0.9,0.14,0.17,0,0.86
Platelet_crit,1,1,0.01,0.97,0.96,0.97,0.96,0.46,0.33,0.68,0.33
