PHENO,PEARSON_CORR,SPEARMAN_RHO,COSINE_SIM,TOP10PCT_PREV,TOP1PCT_PREV,TOP10PCT_OR,TOP1PCT_OR,PERCENTILE_AVE_PREV_SLOPE,PERCENTILE_AVE_PREV_SPEARMAN,PERCENTILE_AVE_PHENO_SLOPE,PERCENTILE_AVE_PHENO_SPEARMAN
Albumin,0.98,0.98,0.3,0.56,0.88,0.56,0.88,0.26,0.46,0.22,0.69
Ankle_spacing_width_left,0.99,0.99,0.65,0.37,0.83,0.37,0.83,0.8,0.71,0.87,0.93
Ankle_spacing_width,0.97,0.97,0.99,0.24,0.38,0.23,0.38,0.53,0.56,0.43,0.8
Apolipoprotein_A,1,1,0.74,0.81,0.92,0.8,0.92,0.91,0.88,0.45,0.18
Apolipoprotein_B,0.97,0.94,0.79,0.78,0.78,0.78,0.78,0.89,0.7,0.91,0.93
Arm_fat_free_mass_left,1,1,0.98,1,0.85,1,0.85,0.76,0.86,0.81,0.98
Arm_fat_free_mass_right,1,1,0.88,0.82,0.95,0.82,0.95,0.91,0.9,0.85,0.83
Arm_predicted_mass_left,1,1,0.93,0.5,0.72,0.5,0.72,0.67,0.45,0.68,0.36
Arm_predicted_mass_right,1,1,0.75,0.95,0.74,0.95,0.74,0.28,0.4,0.6,0.74
Aspartate_aminotransferase,0.99,0.99,0.99,0.96,0.71,0.96,0.71,0.48,0.35,0.57,0.49
Basal_metabolic_rate,1,1,0.53,0.46,0.58,0.46,0.58,0.69,0.79,0.93,0.93
Creatinine,0.98,0.98,0.5,0.48,0.95,0.48,0.95,0.92,0.98,0.41,0.65
Cystatin_C,1,1,0.41,0.5,0.68,0.5,0.68,1,0.99,0.72,0.81
Eosinophill_count,1,1,1,0.91,0.81,0.91,0.81,0.97,0.96,0.96,0.93
Forced_vital_capacity_FVC,1,1,1,1,0.73,1,0.73,0.89,0.94,0.67,0.61
Glycated_haemoglobin_HbA1c,1,1,0.94,0.98,0.45,0.98,0.45,0.21,0.45,0.74,0.77
Haematocrit_percentage,1,1,1,0.94,0.47,0.93,0.47,0.56,0.16,0.79,0.94
Heel_bone_mineral_density_BMD,0.99,0.99,0.91,0.82,0.75,0.82,0.75,0.94,0.95,0.66,0.8
Heel_bone_mineral_density_BMD_T_score_automated,0.99,0.99,0.87,0.6,0.78,0.62,0.78,0.03,0.1,0.06,0.1
Heel_Broadband_ultrasound_attenuation_direct_entry,0.99,0.99,0.37,0.82,0.56,0.82,0.56,0.68,0.37,0.88,0.73
Heel_quantitative_ultrasound_index_QUI_direct_entry,0.99,0.99,0.87,0.6,0.78,0.62,0.78,0.03,0.07,0.06,0.09
High_light_scatter_reticulocyte_count,1,1,0.97,0.79,0.34,0.79,0.34,0.29,0.05,0.28,0.09
High_light_scatter_reticulocyte_percentage,1,1,0.03,0.99,0.95,0.99,0.95,0.79,0.53,0.42,0.35
Hip_circumference,0.99,0.99,0.87,0.85,0.2,0.85,0.2,0.52,0.52,0.62,0.57
IGF_1,0.97,0.97,0,0.74,0.71,0.74,0.71,0.06,0.22,0.15,0.52
Immature_reticulocyte_fraction,1,1,0.79,1,0.98,1,0.98,0.46,0.2,0.3,0.41
Impedance_of_arm_left,1,1,0.59,0.61,0.63,0.61,0.63,0.68,0.67,0.62,0.65
Impedance_of_arm_right,0.99,0.98,0.58,0.56,0.98,0.56,0.98,0.13,0.14,0.38,0.47
Impedance_of_leg_left,0.98,0.98,0.92,0.8,0.56,0.8,0.56,0.37,0.31,0.23,0.2
Impedance_of_leg_right,1,1,0.65,0.99,0.88,0.99,0.88,0.97,0.94,0.92,0.69
Impedance_of_whole_body,1,1,0.96,0.94,0.51,0.94,0.51,0.73,0.62,0.84,0.86
LDL_direct,0.95,0.92,0.59,0.56,0.91,0.56,0.91,0.88,0.86,0.41,0.6
Leg_fat_free_mass_left,1,1,0.6,0.92,0.41,0.92,0.41,0.69,0.67,0.81,0.84
Leg_fat_free_mass_right,1,1,0.81,0.99,0.61,0.99,0.61,0.97,0.91,0.92,0.92
Leg_fat_percentage_left,0.99,0.99,0.42,0.91,0.41,0.91,0.41,0.88,0.92,0.97,0.9
Leg_fat_percentage_right,0.92,0.92,0.74,0.31,0.19,0.31,0.19,0.88,0.89,0.81,0.84
Leg_predicted_mass_left,1,1,0.49,1,0.45,1,0.45,0.83,0.78,0.47,0.44
Leg_predicted_mass_right,1,1,0.96,0.92,0.38,0.92,0.38,0.74,0.82,0.53,0.67
Mean_corpuscular_haemoglobin_concentration,1,1,0.65,0.94,0.84,0.94,0.84,0.93,0.98,0.78,0.81
Mean_corpuscular_haemoglobin,0.99,0.99,0.67,0.59,0.18,0.59,0.18,0.73,0.42,0.89,0.5
Mean_corpuscular_volume,1,1,0.65,0.88,1,0.88,1,0.95,0.75,0.86,0.97
Mean_reticulocyte_volume,0.92,0.91,0.09,0.97,0.6,0.97,0.6,0.11,0.05,0,0
Mean_time_to_correctly_identify_matches,0.97,0.99,0.59,0.78,0.88,0.78,0.88,0.99,0.99,0.95,0.95
Monocyte_count,0.99,0.98,0.45,0.22,0.68,0.22,0.68,0.49,0.33,0.86,0.69
Neuroticism_score,0.99,0.99,0.97,0.93,0.7,0.93,0.7,0.99,0.99,0.99,0.99
Neutrophill_count,0.97,0.89,0.14,0.13,0.19,0.13,0.19,0.71,0.78,0.71,0.65
Peak_expiratory_flow_PEF,0.99,0.99,0.89,0.4,0.78,0.4,0.78,0.93,0.86,0.82,0.81
Phosphate,0.99,0.99,0.65,0.39,0.14,0.4,0.14,0.53,0.7,0.77,0.69
Platelet_count,0.99,0.99,0.28,0.95,0.71,0.95,0.71,0.23,0.1,0.33,0.69
Platelet_crit,0.99,0.99,0.33,0.27,0.29,0.27,0.29,0.86,0.75,0.39,0.18
Red_blood_cell_erythrocyte_count,0.99,0.99,0.76,0.71,0.03,0.72,0.03,0.42,0.19,0.29,0.15
Red_blood_cell_erythrocyte_distribution_width,0.99,0.99,0.7,0.97,0.82,0.97,0.82,0.33,0.42,0.3,0.45
Reticulocyte_count,0.98,0.98,0.05,0.77,0.55,0.8,0.55,0.64,0.64,0.7,0.67
Reticulocyte_percentage,0.99,0.99,0.76,0.76,0.78,0.76,0.78,0.86,0.75,0.39,0.68
SHBG,0.98,0.99,0.94,0.98,0.74,0.98,0.74,0.59,0.66,0.35,0.25
Sitting_height,1,1,0.85,0.95,0.23,0.95,0.23,0.59,0.52,0.15,0.14
Speed_of_sound_through_heel,0.99,0.99,0.58,0.12,0.46,0.1,0.46,0.01,0.02,0.02,0.02
Standing_height,1,1,0.99,0.99,0.01,0.99,0.01,0.81,0.46,0.9,0.79
Systolic_blood_pressure_automated_reading,0.98,0.98,0.64,0.47,0.73,0.47,0.73,0.77,0.87,0.98,0.93
Testosterone,0.99,0.99,0.05,0.05,0.25,0.05,0.25,0.04,0.16,0.99,0.98
Total_bilirubin,0.99,0.99,0.52,0.89,0.78,0.88,0.78,0.47,0.27,0.99,0.93
Total_protein,0.99,0.99,0.56,0.99,0.44,0.99,0.44,0.92,0.63,0.75,0.82
Trunk_fat_free_mass,1,1,0.73,0.69,0.68,0.7,0.68,0.23,0.43,0.09,0.02
Trunk_predicted_mass,1,1,0.68,0.79,0.22,0.79,0.22,0.75,0.58,0.45,0.31
Urate,0.91,0.9,0.57,0.56,0.46,0.56,0.46,0.46,0.61,0.52,0.73
Weight,1,1,0.83,1,0.99,1,0.99,1,0.95,0.86,0.95
Whole_body_fat_free_mass,1,1,1,0.84,0.86,0.84,0.86,0.97,0.92,0.9,0.86
Whole_body_water_mass,1,1,1,0.69,0.7,0.69,0.7,0.33,0.51,0.36,0.13
