PHENO,PEARSON_CORR,SPEARMAN_RHO,COSINE_SIM,TOP10PCT_PREV,TOP1PCT_PREV,TOP10PCT_OR,TOP1PCT_OR,PERCENTILE_AVE_PREV_SLOPE,PERCENTILE_AVE_PREV_SPEARMAN,PERCENTILE_AVE_PHENO_SLOPE,PERCENTILE_AVE_PHENO_SPEARMAN
Alanine_aminotransferase,1,1,1,1,0.67,1,0.67,0.62,0.26,0.75,0.77
Albumin,1,1,0,0.99,1,0.99,1,0.51,0.31,0.08,0.14
Alkaline_phosphatase,1,1,0,1,0.89,1,0.89,0.98,0.76,0.99,0.43
Ankle_spacing_width_left,1,1,1,0.78,0.91,0.78,0.91,0.99,0.95,0.9,0.92
Ankle_spacing_width,1,1,0.18,0.99,0.97,0.99,0.97,0.55,0.87,0.07,0.3
Ankle_spacing_width_right,1,1,0.99,0.98,1,0.98,1,1,1,1,1
Apolipoprotein_A,1,1,0.01,0.95,0.65,0.95,0.65,0.01,0,0,0
Apolipoprotein_B,1,1,0.54,0.92,0.11,0.92,0.11,0.28,0.14,0.43,0.09
Arm_fat_free_mass_left,1,1,0.4,0.9,0.08,0.9,0.08,0.64,0.49,0.6,0.42
Arm_fat_free_mass_right,1,1,0.62,0.97,0.47,0.97,0.47,0.94,0.88,0.87,0.87
Arm_fat_mass_left,1,1,0.28,1,1,1,1,1,1,1,1
Arm_fat_mass_right,1,1,0.33,1,0.47,1,0.48,1,1,0.93,0.73
Arm_fat_percentage_left,1,1,0.72,0.41,0.31,0.41,0.31,0.99,0.99,0.94,0.75
Arm_fat_percentage_right,1,1,0.66,0.38,0.89,0.38,0.89,0.37,0.33,0.45,0.34
Arm_predicted_mass_left,1,1,0,0.79,0.35,0.79,0.35,0.54,0.63,0.04,0.01
Arm_predicted_mass_right,1,1,0.4,0.71,0.17,0.71,0.17,0.71,0.64,0.72,0.48
Aspartate_aminotransferase,1,1,0.03,0.89,0.52,0.88,0.52,0.97,0.94,0.63,0.78
Basal_metabolic_rate,1,1,0.29,0.57,0.73,0.57,0.73,0.61,0.49,0.22,0.1
Birth_weight,1,1,0.89,1,0.81,1,0.81,0.99,0.99,0.99,0.99
Body_fat_percentage,1,0.99,0.38,0.54,0.03,0.54,0.03,0.98,0.96,0.94,0.79
Body_mass_index_BMI,1,1,0,0.9,0.09,0.9,0.09,0.98,0.86,0.98,0.67
Calcium,1,1,1,0.83,0.57,0.81,0.57,0.98,0.92,0.83,0.45
