PHENO,PEARSON_CORR,SPEARMAN_RHO,COSINE_SIM,TOP10PCT_PREV,TOP1PCT_PREV,TOP10PCT_OR,TOP1PCT_OR,PERCENTILE_AVE_PREV_SLOPE,PERCENTILE_AVE_PREV_SPEARMAN,PERCENTILE_AVE_PHENO_SLOPE,PERCENTILE_AVE_PHENO_SPEARMAN
Alanine_aminotransferase,1,1,1,0.99,0.9,0.99,0.9,0.53,0.26,0.92,0.83
Albumin,0.99,0.98,0.8,0.64,0.99,0.64,0.99,0.59,0.43,0.21,0.25
Alkaline_phosphatase,1,1,0.19,0.67,0.96,0.67,0.96,0.97,0.85,0.97,0.46
Ankle_spacing_width_left,0.99,0.99,0.99,0.47,0.8,0.47,0.8,0.93,0.89,0.78,0.82
Ankle_spacing_width,1,0.99,0.29,0.7,0.83,0.69,0.83,0.72,0.87,0.24,0.21
Ankle_spacing_width_right,0.97,0.97,0.55,0.72,0.97,0.71,0.97,0.92,0.83,0.46,0.35
Apolipoprotein_A,1,0.99,0.52,0.83,0.88,0.82,0.88,0.08,0.08,0.03,0.05
Apolipoprotein_B,1,1,0.39,0.9,0.09,0.9,0.09,0.42,0.43,0.39,0.34
Arm_fat_free_mass_left,1,1,0.5,0.59,0.12,0.6,0.12,0.63,0.57,0.61,0.38
Arm_fat_free_mass_right,1,1,0.21,0.81,0.16,0.81,0.16,0.91,0.84,0.85,0.86
Arm_fat_mass_left,1,1,0.15,1,0.42,1,0.42,0.89,0.93,0.97,0.93
Arm_fat_mass_right,1,1,0.4,0.9,0.13,0.9,0.14,0.87,0.82,0.66,0.39
Arm_fat_percentage_left,0.99,0.98,0.73,0.62,0.74,0.62,0.74,0.94,0.95,0.83,0.63
Arm_fat_percentage_right,0.94,0.94,0.94,0.52,0.88,0.52,0.88,0.44,0.4,0.5,0.5
Arm_predicted_mass_left,0.99,0.94,0.31,0.78,0.78,0.78,0.78,0.59,0.57,0.1,0.05
Arm_predicted_mass_right,1,1,0.35,0.83,0.63,0.83,0.63,0.51,0.53,0.67,0.46
Aspartate_aminotransferase,0.99,0.99,0.53,0.96,0.36,0.96,0.36,0.98,0.97,0.74,0.82
