PHENO,PEARSON_CORR,SPEARMAN_RHO,COSINE_SIM,TOP10PCT_PREV,TOP1PCT_PREV,TOP10PCT_OR,TOP1PCT_OR,PERCENTILE_AVE_PREV_SLOPE,PERCENTILE_AVE_PREV_SPEARMAN,PERCENTILE_AVE_PHENO_SLOPE,PERCENTILE_AVE_PHENO_SPEARMAN
Alanine_aminotransferase,1,1,1,0.98,0.8,0.98,0.8,0.21,0.05,0.77,0.65
Albumin,0.99,0.97,0.58,0.44,0.99,0.44,0.99,0.24,0.17,0.04,0.04
Alkaline_phosphatase,1,1,0,0.35,0.93,0.35,0.93,0.93,0.77,0.92,0.24
Ankle_spacing_width_left,0.99,0.99,0.98,0.17,0.63,0.17,0.63,0.81,0.79,0.59,0.63
Ankle_spacing_width,1,0.99,0,0.56,0.63,0.55,0.63,0.49,0.67,0.03,0.06
Ankle_spacing_width_right,0.95,0.95,0.24,0.45,0.96,0.45,0.96,0.87,0.74,0.24,0.16
Apolipoprotein_A,0.98,0.97,0.17,0.65,0.7,0.65,0.7,0,0,0,0
Apolipoprotein_B,1,1,0,0.79,0,0.79,0,0.16,0.13,0.16,0.04
Arm_fat_free_mass_left,1,0.99,0,0.26,0,0.27,0,0.35,0.29,0.33,0.19
Arm_fat_free_mass_right,1,1,0,0.63,0,0.63,0,0.87,0.7,0.75,0.79
Arm_fat_mass_left,1,1,0,1,0.14,1,0.14,0.78,0.92,0.89,0.87
Arm_fat_mass_right,1,1,0,0.78,0,0.78,0,0.74,0.7,0.42,0.18
Arm_fat_percentage_left,0.97,0.94,0.37,0.31,0.54,0.31,0.54,0.87,0.89,0.71,0.4
Arm_fat_percentage_right,0.9,0.89,0.86,0.16,0.72,0.16,0.72,0.13,0.16,0.22,0.21
Arm_predicted_mass_left,0.99,0.87,0,0.53,0.52,0.53,0.52,0.33,0.36,0,0
Arm_predicted_mass_right,1,1,0,0.65,0.37,0.65,0.37,0.26,0.25,0.48,0.2
Aspartate_aminotransferase,0.99,0.99,0.15,0.94,0.04,0.94,0.04,0.93,0.92,0.6,0.66
Basal_metabolic_rate,1,1,0.34,0.12,0.2,0.12,0.2,0.38,0.16,0.1,0
