PHENO,PEARSON_CORR,SPEARMAN_RHO,COSINE_SIM,TOP10PCT_PREV,TOP1PCT_PREV,TOP10PCT_OR,TOP1PCT_OR,PERCENTILE_AVE_PREV_SLOPE,PERCENTILE_AVE_PREV_SPEARMAN,PERCENTILE_AVE_PHENO_SLOPE,PERCENTILE_AVE_PHENO_SPEARMAN
Alanine_aminotransferase,1,1,1,0.97,0.78,0.97,0.78,0.42,0.1,0.7,0.72
Albumin,1,1,0,0.63,1,0.63,1,0.55,0.43,0.08,0.16
Alkaline_phosphatase,1,1,0,0.93,0.59,0.93,0.59,0.97,0.78,0.96,0.26
Ankle_spacing_width_left,1,1,1,0.5,0.98,0.48,0.98,0.93,0.88,0.72,0.77
Ankle_spacing_width,1,1,0.16,0.97,0.93,0.97,0.93,0.43,0.82,0.06,0.1
Ankle_spacing_width_right,1,1,0.7,0.98,1,0.98,1,1,1,0.95,0.84
Apolipoprotein_A,1,1,0,0.9,0.61,0.9,0.61,0,0.01,0,0
Apolipoprotein_B,1,1,0.62,0.85,0.04,0.85,0.04,0.25,0.14,0.34,0.08
Arm_fat_free_mass_left,1,1,0.34,0.89,0.01,0.89,0.01,0.68,0.55,0.54,0.28
Arm_fat_free_mass_right,1,1,0.86,0.92,0.52,0.92,0.52,0.98,0.89,0.89,0.88
Arm_fat_mass_left,1,1,0.41,1,0.98,1,0.98,0.99,1,1,1
Arm_fat_mass_right,1,1,0.46,1,0.08,1,0.08,0.95,0.93,0.91,0.57
Arm_fat_percentage_left,1,0.95,0.81,0.34,0.3,0.34,0.3,0.99,0.97,0.94,0.69
Arm_fat_percentage_right,1,1,0.74,0.31,0.92,0.31,0.92,0.22,0.16,0.38,0.25
Arm_predicted_mass_left,1,1,0,0.77,0.46,0.77,0.46,0.64,0.66,0.03,0.02
Arm_predicted_mass_right,1,1,0.38,0.53,0.13,0.53,0.13,0.49,0.4,0.6,0.2
Aspartate_aminotransferase,1,1,0,0.76,0.46,0.76,0.46,0.95,0.93,0.77,0.77
Basal_metabolic_rate,1,1,0.29,0.37,0.83,0.37,0.83,0.52,0.33,0.13,0.06
Birth_weight,1,1,0.66,1,0.46,1,0.46,0.98,0.97,0.97,0.98
Body_fat_percentage,0.97,0.93,0.37,0.38,0.03,0.38,0.03,0.93,0.93,0.94,0.71
Body_mass_index_BMI,1,1,0,0.69,0.1,0.69,0.1,0.97,0.9,0.96,0.58
Calcium,1,1,0.91,0.15,0.44,0.14,0.44,0.97,0.91,0.66,0.36
Cholesterol,1,1,0.53,0.66,0,0.66,0,0.63,0.42,0.5,0.45
C_reactive_protein,1,1,0,0.44,0.95,0.45,0.95,0.37,0.18,0.4,0.8
Creatinine,1,1,0.39,0.9,0.06,0.9,0.06,1,0.94,1,1
Cystatin_C,1,1,0,0.82,0.45,0.83,0.45,0.83,0.78,0.87,0.74
Diastolic_blood_pressure_automated_reading,1,1,0,0.97,0.15,0.97,0.15,0.71,0.26,0.87,0.3
Eosinophill_count,1,1,0,1,0.75,1,0.75,0.69,0.8,0.27,0.12
Forced_expiratory_volume_in_1_second_FEV1,1,1,1,1,0.7,1,0.7,0.81,0.63,0.54,0.32
Forced_vital_capacity_FVC,1,1,1,0.18,0.98,0.18,0.98,0.6,0.56,0.27,0.33
Gamma_glutamyltransferase,1,1,0,0.06,0.23,0.06,0.23,0.86,0.89,0.55,0.04
Glycated_haemoglobin_HbA1c,1,1,0,1,0,1,0,0.89,0.47,0.85,0.66
Haematocrit_percentage,1,1,0.97,0.98,0.99,0.98,0.99,0.27,0.23,0.11,0.15
Haemoglobin_concentration,1,1,0.81,0.74,0.73,0.73,0.73,0.91,0.95,0.91,0.97
HDL_cholesterol,1,1,0,0.66,0.76,0.65,0.76,0.55,0.32,0.81,0.93
Heel_bone_mineral_density_BMD_left,1,1,1,0.73,0.15,0.71,0.15,0.23,0.15,0.13,0.26
Heel_bone_mineral_density_BMD,1,1,0,1,0.89,1,0.9,1,0.87,0.91,0.87
