PHENO,PEARSON_CORR,SPEARMAN_RHO,COSINE_SIM,TOP10PCT_PREV,TOP1PCT_PREV,TOP10PCT_OR,TOP1PCT_OR,PERCENTILE_AVE_PREV_SLOPE,PERCENTILE_AVE_PREV_SPEARMAN,PERCENTILE_AVE_PHENO_SLOPE,PERCENTILE_AVE_PHENO_SPEARMAN
Alanine_aminotransferase,1,1,1,1,0.98,1,0.98,0.96,0.89,0.98,0.99
Albumin,1,1,0.49,0.99,0.99,0.99,0.99,0.89,0.82,0.79,0.7
Alkaline_phosphatase,1,1,0.33,1,0.99,1,0.99,0.98,0.87,0.99,0.72
Ankle_spacing_width_left,1,1,1,1,0.98,1,0.98,1,1,1,1
Ankle_spacing_width,1,1,1,1,1,1,1,0.99,1,0.88,0.95
Ankle_spacing_width_right,1,1,1,1,1,1,1,1,1,1,1
Apolipoprotein_A,1,1,0.69,1,0.93,1,0.93,0.18,0.06,0.17,0.15
Apolipoprotein_B,1,1,0.32,1,0.45,1,0.45,0.72,0.5,0.89,0.35
Arm_fat_free_mass_left,1,1,0.89,1,0.57,1,0.57,0.87,0.76,0.66,0.72
Arm_fat_free_mass_right,1,1,0.77,0.99,0.88,0.99,0.88,1,0.97,0.98,0.98
Arm_fat_mass_left,1,1,0.72,1,1,1,1,1,1,1,1
Arm_fat_mass_right,1,1,0.91,1,0.96,1,0.97,1,1,0.99,1
Arm_fat_percentage_left,1,1,0.8,0.57,0.87,0.57,0.87,1,1,1,0.92
Arm_fat_percentage_right,1,1,0.76,0.47,0.85,0.47,0.85,0.46,0.36,0.59,0.54
Arm_predicted_mass_left,1,1,0.74,0.98,0.69,0.98,0.69,0.7,0.71,0.17,0.24
Arm_predicted_mass_right,1,1,0.76,0.95,0.61,0.95,0.61,0.93,0.92,0.94,0.85
Aspartate_aminotransferase,1,1,0.44,0.96,0.72,0.96,0.72,0.98,1,0.81,0.96
Basal_metabolic_rate,1,1,0.71,0.98,0.82,0.98,0.82,0.98,0.92,0.85,0.77
Birth_weight,1,1,1,1,1,1,1,1,1,1,1
Body_fat_percentage,1,1,0.54,0.55,0.52,0.55,0.52,0.99,0.97,0.99,0.95
Body_mass_index_BMI,1,1,0.25,1,0.47,1,0.47,1,1,1,0.98
Calcium,1,1,1,1,0.86,1,0.86,1,0.98,0.95,0.82
Cholesterol,1,1,0.74,0.82,0.39,0.82,0.39,0.96,0.7,0.95,0.71
C_reactive_protein,1,1,0.83,1,1,1,1,0.66,0.71,0.71,0.95
