PHENOTYPE,VAR_PP_CORS,MAX_ABS_PP_CORS,MEAN_ABS_PP_CORS,MEAN_DELTA_R2
Age_at_first_live_birth.all_ethnicities.both.original.RAW,0.27,0.39,0.61,1
Age_at_last_live_birth.all_ethnicities.both.original.RAW,0.92,0.9899999999999999,0.9,1
Age_first_had_sexual_intercourse.all_ethnicities.both.original.RAW,0.47,0.73,0.57,1
Age_started_wearing_glasses_or_contact_lenses.all_ethnicities.both.original.RAW,0.38,0.66,0.23,1
Alanine_aminotransferase.all_ethnicities.both.original.RAW,0.4200000000000001,0.83,0.38,1
Albumin.all_ethnicities.both.original.RAW,0.49,0.27,0.87,1
Alkaline_phosphatase.all_ethnicities.both.original.RAW,0.69,0.83,0.72,1
Ankle_spacing_width_left.all_ethnicities.both.original.RAW,0.62,0.37,0.85,1
Ankle_spacing_width_right.all_ethnicities.both.original.RAW,0.45,0.5,0.66,1
Ankle_spacing_width.all_ethnicities.both.original.RAW,0.9099999999999998,0.66,0.95,1
Apolipoprotein_A.all_ethnicities.both.original.RAW,0.47,0.08,0.54,1
Apolipoprotein_B.all_ethnicities.both.original.RAW,0.96,0.92,0.9300000000000002,1
Arm_fat_free_mass_left.all_ethnicities.both.original.RAW,0.98,0.5599999999999999,0.9899999999999999,0.9700000000000002
Arm_fat_free_mass_right.all_ethnicities.both.original.RAW,0.9899999999999999,0.65,0.96,0.82
Arm_fat_mass_left.all_ethnicities.both.original.RAW,0.8,0.48,0.76,1
Arm_fat_mass_right.all_ethnicities.both.original.RAW,0.9099999999999998,0.36,0.9399999999999998,1
Arm_fat_percentage_left.all_ethnicities.both.original.RAW,0.95,0.68,0.98,1
Arm_fat_percentage_right.all_ethnicities.both.original.RAW,0.9099999999999998,0.75,0.9399999999999998,1
Arm_predicted_mass_left.all_ethnicities.both.original.RAW,0.9700000000000002,0.77,0.9899999999999999,0.95
Arm_predicted_mass_right.all_ethnicities.both.original.RAW,0.9700000000000002,0.61,0.98,0.79
Aspartate_aminotransferase.all_ethnicities.both.original.RAW,0.04,0.12,0.10000000000000002,1
Basal_metabolic_rate.all_ethnicities.both.original.RAW,0.98,0.10000000000000002,1,1
Basophill_count.all_ethnicities.both.original.RAW,0.6,0.73,0.48,1
Basophill_percentage.all_ethnicities.both.original.RAW,0.81,0.81,0.76,1
Birth_weight_of_first_child.all_ethnicities.both.original.RAW,0.06000000000000001,0.31,0.08999999999999998,0.9300000000000002
Birth_weight.all_ethnicities.both.original.RAW,0.13000000000000003,0.63,0.2,1
Body_fat_percentage.all_ethnicities.both.original.RAW,0.86,1,0.88,1
Body_mass_index_BMI.all_ethnicities.both.original.RAW,0.54,0.92,0.54,1
C_reactive_protein.all_ethnicities.both.original.RAW,0.71,0.78,0.61,1
Calcium.all_ethnicities.both.original.RAW,0.38,0.34,0.43000000000000005,1
Cholesterol.all_ethnicities.both.original.RAW,0.73,0.5,0.73,1
Creatinine_enzymatic_in_urine.all_ethnicities.both.original.RAW,0.71,0.66,0.9,1
Creatinine.all_ethnicities.both.original.RAW,0.74,0.92,0.88,1
Cystatin_C.all_ethnicities.both.original.RAW,0.74,0.18,0.84,1
Diastolic_blood_pressure_automated_reading.all_ethnicities.both.original.RAW,0.26,0.59,0.12,1
Direct_bilirubin.all_ethnicities.both.original.RAW,0.14,0.18,0.19,1
Eosinophill_count.all_ethnicities.both.original.RAW,0.10000000000000002,0.49,0.16,1
Eosinophill_percentage.all_ethnicities.both.original.RAW,0.26,0.54,0.27999999999999997,1
Forced_expiratory_volume_in_1_second_FEV1.all_ethnicities.both.original.RAW,0.86,0.9099999999999998,0.72,1
Forced_vital_capacity_FVC.all_ethnicities.both.original.RAW,0.85,0.26,0.89,1
Gamma_glutamyltransferase.all_ethnicities.both.original.RAW,0.27,0.26,0.36,1
Glucose.all_ethnicities.both.original.RAW,0.79,0.6,0.72,1
Glycated_haemoglobin_HbA1c.all_ethnicities.both.original.RAW,0.43000000000000005,0.12,0.63,1
Haematocrit_percentage.all_ethnicities.both.original.RAW,0.009999999999999998,0.86,0.06000000000000001,1
Haemoglobin_concentration.all_ethnicities.both.original.RAW,0.06000000000000001,0.39,0.16,1
Hand_grip_strength_left.all_ethnicities.both.original.RAW,0.8,0.54,0.84,0.95
Hand_grip_strength_right.all_ethnicities.both.original.RAW,0.76,0.23,0.85,0.79
