PHENOTYPE,VAR_BETAS,MAX_ABS_BETAS,MEAN_ABS_BETAS,VAR_PP_CORS,MAX_ABS_PP_CORS,MEAN_ABS_PP_CORS,MEAN_DELTA_R2,MEAN_DELTA_ADJ_R2,MEAN.DELTA_ADJ_R2_POSITIVE
Age_at_first_live_birth.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.96,0.73,0.9700000000000002,0.54,0.68,0.08999999999999998
Age_at_first_live_birth.all_ethnicities.both.dynamic_med_corrected.IRNT,1,1,1,0.52,0.89,0.86,1,1,0.029999999999999995
Age_at_first_live_birth.all_ethnicities.both.dynamic_med_corrected.RAW,1,1,1,0.66,0.53,0.87,1,1,0.009999999999999998
Age_at_first_live_birth.all_ethnicities.both.original.IRNT,1,1,1,0.37,0.58,0.69,1,1,0.05
Age_at_first_live_birth.all_ethnicities.both.original.RAW,1,1,1,0.27,0.39,0.61,1,1,0.08999999999999998
Age_at_first_live_birth.all_ethnicities.both.original.with_med_correction.IRNT,1,0.9899999999999999,1,0.13000000000000003,0.6,0.36,1,1,0.07
Age_at_first_live_birth.all_ethnicities.both.original.with_med_correction.RAW,1,0.98,1,0.08,0.55,0.27999999999999997,1,1,0.08
Age_at_first_live_birth.all_ethnicities.both.static_med_corrected.IRNT,1,1,1,0.3,0.84,0.75,1,1,0.029999999999999995
Age_at_first_live_birth.all_ethnicities.both.static_med_corrected.RAW,1,1,1,0.46,0.59,0.79,1,1,0.02
Age_at_last_live_birth.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.69,0.55,0.76,0.3,0.4200000000000001,0.11
Age_at_last_live_birth.all_ethnicities.both.dynamic_med_corrected.IRNT,1,1,1,0.96,0.83,0.95,1,1,0.06000000000000001
Age_at_last_live_birth.all_ethnicities.both.dynamic_med_corrected.RAW,1,1,1,1,0.77,1,1,1,0.10000000000000002
Age_at_last_live_birth.all_ethnicities.both.original.IRNT,1,1,1,0.88,0.88,0.81,1,1,0.05
Age_at_last_live_birth.all_ethnicities.both.original.RAW,1,0.9899999999999999,1,0.92,0.9899999999999999,0.9,1,1,0.06000000000000001
Age_at_last_live_birth.all_ethnicities.both.original.with_med_correction.IRNT,1,1,1,0.88,0.88,0.81,1,1,0.05
Age_at_last_live_birth.all_ethnicities.both.original.with_med_correction.RAW,1,0.9899999999999999,1,0.92,0.9899999999999999,0.9,1,1,0.06000000000000001
Age_at_last_live_birth.all_ethnicities.both.static_med_corrected.IRNT,1,1,1,0.9700000000000002,0.84,0.92,1,1,0.07
Age_at_last_live_birth.all_ethnicities.both.static_med_corrected.RAW,1,1,1,1,0.86,1,1,1,0.07
Age_first_had_sexual_intercourse.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.47,0.77,0.25,0.29,0.4000000000000001,0.029999999999999995
Age_first_had_sexual_intercourse.all_ethnicities.both.dynamic_med_corrected.IRNT,1,0.83,0,0.9300000000000002,1,0.96,1,1,0.65
Age_first_had_sexual_intercourse.all_ethnicities.both.dynamic_med_corrected.RAW,1,0.78,0,0.39,0.72,0.55,0.77,0.77,0.07
Age_first_had_sexual_intercourse.all_ethnicities.both.original.IRNT,1,0.9399999999999998,0,0.68,1,0.59,1,1,0.04
Age_first_had_sexual_intercourse.all_ethnicities.both.original.RAW,1,0.89,0,0.47,0.73,0.57,1,1,0.07
Age_first_had_sexual_intercourse.all_ethnicities.both.original.with_med_correction.IRNT,1,0.9399999999999998,0,0.68,1,0.59,1,1,0.04
Age_first_had_sexual_intercourse.all_ethnicities.both.original.with_med_correction.RAW,1,0.89,0,0.47,0.73,0.57,1,1,0.07
Age_first_had_sexual_intercourse.all_ethnicities.both.static_med_corrected.IRNT,1,0.81,0,0.88,0.9899999999999999,0.9300000000000002,1,1,0.64
Age_first_had_sexual_intercourse.all_ethnicities.both.static_med_corrected.RAW,1,0.73,0,0.63,0.75,0.48,0.75,0.75,0.06000000000000001
Age_started_wearing_glasses_or_contact_lenses.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.71,0.84,0.8,0.34,0.4000000000000001,0.05
Age_started_wearing_glasses_or_contact_lenses.all_ethnicities.both.dynamic_med_corrected.IRNT,1,0.98,0,0.6,0.3,0.76,0.9899999999999999,0.9899999999999999,0.06000000000000001
