,gPC_1,gPC_2,gPC_3,gPC_4,gPC_5,gPC_6,gPC_7,gPC_8,gPC_9,gPC_10,gPC_11,gPC_12,gPC_13,gPC_14,gPC_15,gPC_16,gPC_17,gPC_18,gPC_19,gPC_20,gPC_21,gPC_22,gPC_23,gPC_24,gPC_25,gPC_26,gPC_27,gPC_28,gPC_29,gPC_30,gPC_31,gPC_32,gPC_33,gPC_34,gPC_35,gPC_36,gPC_37,gPC_38,gPC_39,gPC_40
Apolipoprotein_B.all_ethnicities.both.static_med_corrected.RAW,6.939180108338543e-12,-2.1171677581597166e-12,3.019609924816817e-12,-1.2597377012318768e-12,2.9163724064610458e-12,1.424285161803306e-12,7.364414110246522e-13,1.1300989516204971e-12,3.5907081885402854e-13,4.444220554284037e-13,1.3137894057857023e-12,1.2887588528179516e-13,9.710036272381157e-13,-2.374827125069596e-13,2.1660393065024802e-13,-1.8477484132335967e-13,-3.379291924079616e-12,5.457072450652217e-13,-1.0202467033613108e-12,1.1291706773351015e-12,6.789310164511566e-13,1.3676364543920562e-12,-4.0071402973464023e-13,-1.48188145015065e-12,-5.037622342705251e-12,-1.3385329215364272e-12,-1.482102354283207e-12,1.404308700454503e-12,6.724967161003807e-13,1.963201342286067e-12,-1.1051411496368547e-14,1.3141494652320559e-12,-3.6139766274399453e-12,1.992849420601017e-12,2.643874479084134e-13,1.0005459758081737e-12,2.4157368719679873e-13,2.268488173836472e-12,2.696037765239866e-12,2.7889574471792434e-12
Apolipoprotein_B.all_ethnicities.both.dynamic_med_corrected.RAW,2.502404917304562e-12,-8.442696880340462e-13,2.7862688487562644e-13,7.393541383754466e-13,4.99145814918367e-13,3.30288562047019e-14,1.2451457583709492e-13,3.5866011042989133e-13,-6.021064785031271e-13,-1.011898585884863e-13,-1.0190761223987005e-12,8.886173185570463e-13,8.664709057182717e-14,-9.241170824251027e-14,3.8739684867332794e-14,1.0996331588524904e-13,9.814636910049591e-12,-1.4729876316305491e-12,2.2111452212894988e-12,-2.0764630081715867e-12,-4.3316990156345275e-13,-4.946128139403835e-12,-4.953896221401054e-13,3.84593425200985e-12,1.7306732806731832e-11,4.709200624336064e-12,4.821996648895311e-12,-3.665072050616861e-12,-1.8872665783623647e-12,-6.597842924725757e-12,7.69402630136035e-13,-5.0734245705803896e-12,1.0974360952323443e-11,-6.010005876285755e-12,-8.65540080407304e-13,-3.45740391445583e-12,-4.789739628520835e-13,-7.158929178731607e-12,-9.048104439414542e-12,-8.542645566502259e-12
Apolipoprotein_B.all_ethnicities.both.original.RAW,-0.033384998940218145,0.014103062084600219,-0.007651232251995588,0.011423163893445215,0.008925924106453842,-0.008253591857890659,-6.31962895656262e-05,-0.010266219804953782,0.006435406407382651,0.0036217478941598918,0.0014153095623443725,0.001585516016354196,0.0005303331600963249,0.004939102382321906,0.0012171731571763117,0.0024564979959469197,-0.0026632899973082786,0.004204353348380785,-0.0011351570605320908,0.0069123191596489695,0.005199847367326072,-0.0013014805793724591,-0.003392127066110522,0.0037644927563697103,0.00328138669575484,-0.002065572608755308,0.004195419754329895,0.005435462974095032,0.00207625509768167,0.008380006955538808,0.004105722140328786,0.002521022866867939,0.00766660152966537,-0.006541667213698602,-0.002474571237828495,-0.00039485433957015524,-0.0024551127771550883,-0.0021751120968468395,-0.0018677082285057478,4.404684581632251e-05
Apolipoprotein_B.all_ethnicities.both.2nd_visit.original.RAW,-0.25639966451760354,0.09895396793877695,-0.09290505296487488,0.010872484983658583,-0.12899281141010988,-0.10109628904770379,-0.059315032019756034,-0.14099017884316828,0.18180919201655096,0.25510793090514633,0.454404106495606,-0.3048528137324941,-0.03779080587509463,0.05452004176310069,-0.03685704299705891,-0.0031108272425191103,-0.014492583163932407,-0.05857891429298761,-0.0008608704033152043,-0.009846272642199418,-0.03222491959384322,0.016122469540944893,0.02589465937552793,-0.007791892855294557,0.002296818527384909,0.023142345960827954,0.007446717608792798,0.013935676004113896,-0.004047122385133628,-0.00505239672706665,-0.025349967465074636,0.050812806864823507,0.0011939589680437996,-0.013058482875418028,-0.007230303408071485,-0.024434616839593234,0.0015587941074917358,0.011513569363321843,0.03440590747713171,-0.014316950470070967
Apolipoprotein_B.all_ethnicities.both.original.with_med_correction.RAW,-0.03336946880585292,0.01257988816619122,-0.004274162871071308,0.011953742596806637,0.008747480283372768,-0.009909525284498115,-0.0001574608774582394,-0.011899677153575587,0.006993264648250138,0.00453080747430242,0.0031792788689705867,0.0006444168634431813,0.0012731759488452765,0.0059269321328753585,0.0016885480343923579,0.002123984373088087,-0.0031984243179794835,0.004642301227227052,-0.0013284725718906106,0.007829869005792826,0.005620489177814527,-0.0013230779442088981,-0.003864983180244237,0.00385347163353682,0.0036907243524860757,-0.0018436577084527065,0.004063262325395238,0.0055253221688594065,0.001885755812619168,0.008270103880471079,0.004187189743484098,0.002584520485204024,0.007953029910730268,-0.006496292090710657,-0.0024775901337795226,-0.00044425966223936937,-0.002738596366297164,-0.002146793724261734,-0.0017486079984230958,-2.151452865018903e-05
Leg_predicted_mass_right.all_ethnicities.both.static_med_corrected.RAW,-5.071290219084424e-12,1.0665202469122623e-12,-1.4370935937799175e-11,-8.006257178119891e-12,-3.106678017706674e-13,1.0743737475952603e-11,5.0900733897752785e-12,1.1562294680349257e-12,-2.6383934444292855e-12,1.7927877818374195e-11,6.61888657645358e-12,3.0274913979914096e-12,4.3675814290621134e-13,1.3555273824327506e-12,-1.199586174820717e-12,-6.830566277848444e-13,1.3540834103661995e-12,-8.858563535247003e-13,1.2914557560287734e-12,-1.9299691019483044e-12,-2.1450951011360754e-12,9.375594932125144e-13,1.6861749507516064e-12,-7.30087794394955e-13,-1.1429855547823364e-12,-6.962829357805706e-13,-1.7245320003438163e-13,-9.681266635458602e-13,4.4189799671873867e-13,-2.9562568158018164e-13,-6.73636834311544e-13,3.8185862783508523e-13,-1.942107634720463e-13,-1.8677260165053747e-13,-2.339166412588423e-13,-2.7417505589232054e-13,-5.945390715427961e-13,1.346517140410769e-14,5.495136292153419e-13,-5.04793628579416e-13
Leg_predicted_mass_right.all_ethnicities.both.dynamic_med_corrected.RAW,3.3145562061828604e-11,-1.114852544350795e-11,4.099804638788225e-11,7.567526861503058e-12,-6.887772305791697e-12,-2.7696720189310395e-12,-1.7226044268857608e-12,-2.3587731307003987e-12,-9.271894484594497e-13,-6.066713966320393e-13,6.62714077556562e-13,-6.485516441124719e-13,-1.808383688325292e-12,2.983408832278106e-12,-2.4524754619744445e-12,1.8228436905561981e-13,2.868885020118269e-13,-1.0460300557838447e-13,-1.0508137431555263e-12,2.6227854312537873e-12,1.623242793659641e-12,-1.3869360699524253e-12,-7.764049635195156e-13,1.321690257891535e-12,1.3862608511335915e-12,-8.443088496226473e-13,-5.925056343269352e-13,-2.0567447080606233e-13,1.0342847496269476e-12,-4.4392060190225357e-13,-5.93228395797473e-14,-8.392522045257226e-13,1.2575364428310733e-12,8.185087913141076e-13,6.865496802341992e-13,6.204789913003878e-13,-8.413769843352451e-14,1.6189921413092183e-13,-4.0742303412657185e-13,3.460537658636893e-13
Leg_predicted_mass_right.all_ethnicities.both.original.RAW,-0.02250372426415181,0.025458161601238094,-0.006530390887924696,0.011265840033163655,0.0020488261284821677,-0.009936470647735918,0.0010545048459399472,-0.006530077131803083,0.007265714498053054,0.007759210705821727,0.0017484234417740271,0.0018563627486789316,-0.0012685707046341302,-0.0029466883643417263,0.0018387072923893115,-0.002080237953278849,-0.0019881608575959666,0.004857179318209786,-0.0027915084956930893,0.006700221907975994,0.00533309542387588,-0.0016833698799934426,-0.003624911835436195,0.0036078072964169754,0.001956104140493758,-0.0021647229466540832,0.003029116757821917,0.007704209524373363,0.002166488906360205,0.007685084788691574,0.004384102432776851,0.0010647687138606765,0.008090204782793436,-0.007109376669759351,-0.0010704149828986876,0.0011521265423334293,-0.0019262977503218762,-0.0013608359309003665,-0.0025406130255942855,0.0004210988872019808
Leg_predicted_mass_right.all_ethnicities.both.2nd_visit.original.RAW,-0.2564530470178243,0.11113118621778094,-0.0819764884949072,0.005674330029030223,-0.12234295628228853,-0.09781795404849702,-0.06618934866371533,-0.13508795103798685,0.181110219030514,0.2515720837705543,0.445996346831534,-0.2940776325069297,-0.03743794808845134,0.049355749625485126,-0.04121685273160228,-0.010652476498801836,-0.014439270182198725,-0.05866013945027093,0.0035526311279910727,-0.008483546636456497,-0.020797068693003,0.011406881759622563,0.021200860363025854,-0.012466002776118444,0.006878134726273608,0.026982584490047517,0.012271018182834147,0.01308452882924565,-0.0031338966126717026,-0.002381324275110257,-0.023926777864490958,0.04421158607661046,0.004623159917930372,-0.010835364238836728,-0.007295875171134746,-0.016894768389316455,-6.025106558847308e-05,0.014090966248141313,0.03418332974079591,-0.014209040494961791
Leg_predicted_mass_right.all_ethnicities.both.original.with_med_correction.RAW,-0.022862631200445672,0.025426364605182526,-0.0066157800699290234,0.01119878581946005,0.0020819059655545783,-0.009888130611878933,0.0010963800800825128,-0.006483642539798401,0.007268035978169838,0.007701037683760127,0.0016925777559100097,0.0019205088134241087,-0.001295389407390037,-0.002969232597182609,0.0017661213001141348,-0.002051392678914493,-0.0019950376246443548,0.004853210947873056,-0.002766178800947775,0.006645276641528203,0.005295276552805895,-0.00167007598492825,-0.0036027475519325573,0.0036036754542472993,0.0019494685445276515,-0.002166127221445682,0.003033717512225616,0.007716312620271281,0.002166784053777797,0.0077105741440305605,0.004378779983599455,0.0010775195131034216,0.008072627188421165,-0.007114742874098914,-0.0010823819425578533,0.0011638822511557537,-0.0019092419626269026,-0.0013424995347535204,-0.0025382155283612865,0.00041648674146640654
