"PHENOTYPE","SAMPLE_SIZE","COMPLETE_CASES"
"Apolipoprotein_B.all_ethnicities.both.static_med_corrected.IRNT",487309,462058
"Apolipoprotein_B.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,462058
"Apolipoprotein_B.all_ethnicities.both.static_med_corrected.RAW",487309,462058
"Apolipoprotein_B.all_ethnicities.both.dynamic_med_corrected.RAW",487309,462058
"Apolipoprotein_B.all_ethnicities.both.original.RAW",487309,462058
"Apolipoprotein_B.all_ethnicities.both.2nd_visit.original.RAW",487309,16405
"Apolipoprotein_B.all_ethnicities.both.original.with_med_correction.RAW",487309,462058
"Apolipoprotein_B.all_ethnicities.both.original.with_med_correction.IRNT",487309,462058
"Apolipoprotein_B.all_ethnicities.both.original.IRNT",487309,462058
"Leg_predicted_mass_right.all_ethnicities.both.static_med_corrected.IRNT",487309,478499
"Leg_predicted_mass_right.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,478499
"Leg_predicted_mass_right.all_ethnicities.both.static_med_corrected.RAW",487309,478499
"Leg_predicted_mass_right.all_ethnicities.both.dynamic_med_corrected.RAW",487309,478499
"Leg_predicted_mass_right.all_ethnicities.both.original.RAW",487309,478499
"Leg_predicted_mass_right.all_ethnicities.both.2nd_visit.original.RAW",487309,19626
"Leg_predicted_mass_right.all_ethnicities.both.original.with_med_correction.RAW",487309,478499
"Leg_predicted_mass_right.all_ethnicities.both.original.with_med_correction.IRNT",487309,478499
"Leg_predicted_mass_right.all_ethnicities.both.original.IRNT",487309,478499
"Eosinophill_count.all_ethnicities.both.static_med_corrected.IRNT",487309,471547
"Eosinophill_count.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,471547
"Eosinophill_count.all_ethnicities.both.static_med_corrected.RAW",487309,471547
"Eosinophill_count.all_ethnicities.both.dynamic_med_corrected.RAW",487309,471547
"Eosinophill_count.all_ethnicities.both.original.RAW",487309,471547
"Eosinophill_count.all_ethnicities.both.2nd_visit.original.RAW",487309,18259
"Eosinophill_count.all_ethnicities.both.original.with_med_correction.RAW",487309,471547
"Eosinophill_count.all_ethnicities.both.original.with_med_correction.IRNT",487309,471547
"Eosinophill_count.all_ethnicities.both.original.IRNT",487309,471547
"C_reactive_protein.all_ethnicities.both.static_med_corrected.IRNT",487309,463393
"C_reactive_protein.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,463393
"C_reactive_protein.all_ethnicities.both.static_med_corrected.RAW",487309,463393
"C_reactive_protein.all_ethnicities.both.dynamic_med_corrected.RAW",487309,463393
"C_reactive_protein.all_ethnicities.both.original.RAW",487309,463393
"C_reactive_protein.all_ethnicities.both.2nd_visit.original.RAW",487309,16469
"C_reactive_protein.all_ethnicities.both.original.with_med_correction.RAW",487309,463393
"C_reactive_protein.all_ethnicities.both.original.with_med_correction.IRNT",487309,463393
"C_reactive_protein.all_ethnicities.both.original.IRNT",487309,463393
"SHBG.all_ethnicities.both.static_med_corrected.IRNT",487309,421167
"SHBG.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,421167
"SHBG.all_ethnicities.both.static_med_corrected.RAW",487309,421167
"SHBG.all_ethnicities.both.dynamic_med_corrected.RAW",487309,421167
"SHBG.all_ethnicities.both.original.RAW",487309,421167
"SHBG.all_ethnicities.both.2nd_visit.original.RAW",487309,13064
"SHBG.all_ethnicities.both.original.with_med_correction.RAW",487309,421167
"SHBG.all_ethnicities.both.original.with_med_correction.IRNT",487309,421167
"SHBG.all_ethnicities.both.original.IRNT",487309,421167
