PHENOTYPE,gPC_1,gPC_2,gPC_3,gPC_4,gPC_5,gPC_6,gPC_7,gPC_8,gPC_9,gPC_10,gPC_11,gPC_12,gPC_13,gPC_14,gPC_15,gPC_16,gPC_17,gPC_18,gPC_19,gPC_20,gPC_21,gPC_22,gPC_23,gPC_24,gPC_25,gPC_26,gPC_27,gPC_28,gPC_29,gPC_30,gPC_31,gPC_32,gPC_33,gPC_34,gPC_35,gPC_36,gPC_37,gPC_38,gPC_39,gPC_40
Apolipoprotein_B.all_ethnicities.both.static_med_corrected.IRNT,8.279809733175122e-12,-2.605998689176213e-12,3.826480452182271e-12,-1.4365052072699324e-12,3.100054542919304e-12,1.606253945516395e-12,8.183762323883825e-13,1.3762613630720576e-12,6.128005004239929e-13,7.404825643774666e-13,1.7803611340109077e-12,-2.14973722487828e-13,9.371767405396545e-13,-4.648952406039152e-13,1.0397614105762661e-13,-2.7449479862392423e-13,-1.334032407790913e-12,3.280722887198145e-13,-6.383878232859024e-13,9.191197287233403e-13,6.891434845427238e-13,7.626134003397421e-14,-5.930375436534273e-13,-4.3724063429542883e-13,-9.043373354082557e-13,-3.37690288703934e-13,-4.811639244926792e-13,8.548011442515598e-13,1.0443273878085473e-13,5.641041581867752e-13,1.2796076709084311e-13,2.492285363547292e-13,-1.0196158720517868e-12,6.428313051431249e-13,2.498499303718008e-13,1.8220760451198705e-13,1.31535153235645e-13,6.594316594542777e-13,7.734606705072563e-13,8.399739332346436e-13
Apolipoprotein_B.all_ethnicities.both.dynamic_med_corrected.IRNT,2.191831789675598e-12,-7.022509305380499e-13,2.5028596356145143e-13,1.5832930130352417e-12,-9.214842749293882e-13,-3.160224254155043e-13,-1.5979869730186638e-13,1.8888910006846558e-13,-6.114303312172102e-13,-2.6023782406714723e-13,-1.4562657883016685e-12,7.104488034827692e-13,-1.1706356025221342e-13,-5.185471859389323e-14,6.313869084775998e-15,-1.753774072532048e-13,1.656388562730534e-12,-4.96243067868187e-13,5.764891708409966e-13,-7.087073136372004e-13,-3.1296945773542985e-13,-5.932724365291587e-13,1.930447948009481e-14,4.888992336085706e-13,2.540991179829268e-12,6.637429994897487e-13,6.935631283228964e-13,-8.145456716468976e-13,-2.612779814623278e-13,-1.1981803714775885e-12,6.930156210177795e-14,-9.658985036052066e-13,1.5705159582101605e-12,-8.969438849099514e-13,-1.1550635782730133e-13,-5.238754881249387e-13,-1.3175705776790394e-13,-1.2027585052460517e-12,-1.4533262823719581e-12,-1.222481731534051e-12
Apolipoprotein_B.all_ethnicities.both.original.with_med_correction.IRNT,-0.04983331975268049,-0.00231704076496926,0.01260404302644437,-0.00452849661654617,-0.00880953535367528,-0.00349330367658233,0.0013265270903812,-0.01256950037184838,0.0030379735022987,-0.0036063243689712,0.00166567800690761,-0.00227739845807501,0.00607228673775381,0.01798017620746904,0.00520941110694853,0.00597392700642149,-0.01233772661342772,0.00580190518137044,0.00444032923105875,0.00541009082405077,0.00118102049717473,6.5296372893689e-4,1.5158963507810782e-5,0.00336898324386984,0.0047029334334082,-0.00136324680373461,0.00407843178762894,-0.0052348549573159,0.0022191579165218,-8.3946950649168e-4,-0.00297329285345759,-4.1841266663126e-4,8.0649788054043e-4,-9.8640234600082e-4,-4.7734409154213e-4,-9.3815100850923e-4,-0.00431895584836781,-4.4836970859874e-4,-0.00207539515375758,-3.1141122321234e-4
Apolipoprotein_B.all_ethnicities.both.original.IRNT,-0.0456968950902989,0.00509279998128618,-0.0044738279411916,-0.0066220140298278,-0.00672649381312866,0.00458987309712933,0.00158045505375287,-0.00369564450310205,-9.964736865777392e-5,-0.0074461100796383,-0.00674239447126836,0.0022870043675591,0.00208163083285937,0.01154369309797199,0.00266237238383664,0.00692198294050955,-0.00875006840226028,0.0032102123791389902,0.00494142885099645,7.8695144019197e-4,-7.9395499837455e-4,7.3929827478764e-4,0.00223396751700402,0.00255965458307455,0.00237587062446545,-0.0022446778022092,0.00427989636406103,-0.00500344593587521,0.00305209818889282,-5.805342373276085e-5,-0.00294501114465653,-5.7230212602662e-4,-5.3185983317996e-4,-0.00121330143895693,-5.2746128266624e-4,-5.090317624553e-4,-0.00254722610214703,-4.1282647916603e-4,-0.00243950797572041,-1.2307576616323e-4
Leg_predicted_mass_right.all_ethnicities.both.static_med_corrected.IRNT,-1.8149769987018409e-12,-2.004763303810973e-13,-1.3979553091942356e-11,-9.638418688007936e-12,1.4936897785034414e-12,5.745411762118289e-12,4.933512547331389e-12,3.5412232020893233e-12,2.127600289032623e-12,5.7381418167186186e-12,2.9403179927867296e-12,2.1962228443745047e-12,9.624287111116634e-13,-1.1884407522657818e-12,1.1215190675082308e-12,-1.505121729126535e-12,-9.306791197783569e-13,-2.607121722684028e-13,-1.5060187863615976e-14,-7.178078330690938e-13,7.627259760819678e-14,7.039496661528185e-13,-5.393848322319771e-14,-8.367476327680146e-13,-2.1781355511075003e-14,-2.5537764012712524e-13,-4.771833455894929e-13,6.299848603324186e-13,-2.8588267431172496e-13,-1.7088342004565452e-14,2.7542452089257013e-13,-6.993982769314032e-13,-4.923304441354718e-13,-5.197248233437783e-13,-9.175661484733245e-15,-5.092843965753975e-13,-2.4479605855512333e-13,-1.8308902424891278e-13,1.1374929875550868e-13,1.8910785942847466e-13
Leg_predicted_mass_right.all_ethnicities.both.dynamic_med_corrected.IRNT,3.382728627298056e-11,-1.1403281881416908e-11,4.5077523122520874e-11,8.062789648814243e-12,-9.812269174952848e-12,-3.963882090426855e-12,-2.360242979038252e-12,-3.003210110481017e-12,-1.8265499874256306e-12,-1.3055136608732125e-12,-1.419570596914483e-12,5.0190665105363246e-14,-2.0802083884837738e-12,3.653450408744913e-12,-2.7629976422071978e-12,2.965017566511924e-13,7.310430637440053e-13,-3.530688842948349e-13,-8.356994892463995e-13,2.50912253281278e-12,1.4588354934291186e-12,-1.1897629762691748e-12,-5.142179626108018e-13,1.3575405065295093e-12,1.1685037944349432e-12,-1.0875703791082002e-12,-7.960234469948574e-13,-7.530271146440336e-13,1.3829322397401454e-12,-7.721023236767284e-13,-7.573745525321295e-14,-1.1181297625587509e-12,1.2561873005095101e-12,8.75908603816256e-13,7.284447354195656e-13,7.259338475267608e-13,-9.858736742017369e-14,2.5655671628885342e-14,-5.149870670845975e-13,4.918432800537606e-13
Leg_predicted_mass_right.all_ethnicities.both.original.with_med_correction.IRNT,-0.00184489240022035,0.06905305307464035,-0.00185620575274339,-0.00553772559929818,-0.0303073930532711,0.00166182574967892,0.00642185693506453,0.01659840663243939,-0.00174915159331216,0.01066005873463247,-0.00947320874379072,0.01059494614282309,-0.00702808882565907,-0.01484771291380311,0.00212776579547092,-0.01402701237711174,-0.007243554590322,-0.00136254547869518,2.3929032457074e-4,0.0022999717235473,0.00166940183041452,-0.00187368253228753,0.00237985222693827,0.00298706581132643,5.299274328718994e-5,-5.3055031911793e-4,-7.8595626076158e-4,0.00160647859576765,0.00260393422670704,-0.00156519551309206,-0.00309179317754255,-0.00376547261989183,0.00407984044138581,-0.00395269676580556,0.00190513524432985,0.00406654536955842,-0.00277749716382341,0.00210459655038926,-0.00393446655190165,0.00166298397805976
Leg_predicted_mass_right.all_ethnicities.both.original.IRNT,1.9617843933638e-4,0.06904477101738483,-0.00138984505205906,-0.00509538812588599,-0.03050565536642585,0.00129147076748491,0.00617399526475023,0.01634904844900731,-0.00173143080930305,0.01099212027980922,-0.00913355475239654,0.01015451560642503,-0.00672473153970759,-0.01475502535915724,0.00242128501013918,-0.01412837831158683,-0.00725897893546041,-0.00140043028131279,1.1560701127186e-4,0.0026131889730817,0.00187916510274545,-0.00198385399787198,0.00222887941565676,0.00303394664398822,7.805577051699324e-5,-4.8317679560962e-4,-8.0625077805038e-4,0.00149148096696612,0.00260639544651266,-0.00168446922105939,-0.00302746431830372,-0.00376725699766169,0.0041410730689621,-0.00397250639670904,0.00203222858725633,0.00395554879956149,-0.00291859876111501,0.00196429336749135,-0.00393475598869073,0.00173585076945851
Eosinophill_count.all_ethnicities.both.static_med_corrected.IRNT,7.2559236676151465e-12,-2.860381378489112e-12,1.4273682638944873e-11,-1.126449468857967e-11,-5.312785520410446e-12,7.739002751103483e-12,7.43484991250585e-12,6.046758191476781e-12,3.5703023433411492e-12,6.011595055528365e-12,9.020683778301706e-12,3.1192458570025266e-12,4.6436875529950183e-14,-8.76245332149039e-13,1.413115813048534e-12,3.198570621994047e-13,-2.0552815662838175e-12,-2.0351291640275344e-12,-1.4983763197583405e-12,-7.03730554587358e-14,4.0215651444962793e-13,7.567303709729945e-14,-8.251259613106949e-13,-1.208526157333438e-12,8.087359600726783e-13,6.536374835705787e-13,7.099250449629833e-14,2.1347710788473746e-12,-9.742057323607789e-13,7.672929893358469e-14,-1.846143448033815e-13,-3.92964274383635e-13,-1.2459248702333485e-12,1.330505814005105e-13,5.543720019676749e-13,-3.992178481145714e-13,5.275415399884642e-13,-4.549334418750194e-13,6.19121034912176e-13,1.769467537484443e-13
Eosinophill_count.all_ethnicities.both.dynamic_med_corrected.IRNT,1.048292258468682e-11,-4.042268095616446e-12,3.4004617089677704e-12,-1.7784873311741596e-13,7.821954031837862e-12,-3.986496638007784e-14,-1.8364101590932493e-12,-1.2656566872937204e-12,2.275876423389886e-12,-1.0150668468803518e-12,6.804918684126656e-12,-5.928554492581986e-12,-2.6175888719074143e-13,-4.3559111480888753e-13,-9.932726037551824e-13,7.671100205229799e-13,-2.9748248124441853e-13,1.535387064743639e-12,-9.011299271380372e-13,2.306118651488125e-12,9.413815653689902e-13,-1.7118684735031658e-12,-6.680800616847129e-13,8.070248988218411e-13,1.5522050929483026e-12,6.731653358994478e-13,7.300773662399776e-13,1.2537448977772317e-12,1.2197689905551388e-13,7.871480950324066e-13,3.353797712499986e-13,1.3914101734099589e-12,1.3322834148093713e-12,-1.5555241889051974e-13,-1.1383150910239137e-13,1.7543084892259377e-13,1.6584741859156492e-13,9.06454251272578e-13,3.518656811912814e-13,-4.35469802238991e-13
