PHENOTYPE,EVEN_COS_SIM,EVEN_PEARSON,MAX_ABS_BETAS,BETA_PVALUE,MEAN.DELTA.R2,R2_PVALUE
Age_at_first_live_birth.all_ethnicities.both.2nd_visit.original.RAW,2.9599590603113004,3.2113479278116803,4.5241542245749e-4,0.0099009900990099,1.4875864475914077e-4,0.46534653465346537
Age_at_first_live_birth.all_ethnicities.both.dynamic_med_corrected.IRNT,2.644624848943348,2.6232905611628548,4.9760006231131e-4,0.0099009900990099,7.958171191953441e-6,0.009900990099009901
Age_at_first_live_birth.all_ethnicities.both.dynamic_med_corrected.RAW,2.673656760368986,2.6810299732368534,4.9763791153297e-4,0.0099009900990099,7.742028937674829e-6,0.009900990099009901
Age_at_first_live_birth.all_ethnicities.both.original.IRNT,3.209583392142283,3.2095021584009165,4.9791676602478e-4,0.0099009900990099,1.0362550940140602e-5,0.009900990099009901
Age_at_first_live_birth.all_ethnicities.both.original.RAW,3.2063003347425045,3.187043693586582,4.5976813619656e-4,0.0099009900990099,9.828869997043075e-6,0.009900990099009901
Age_at_first_live_birth.all_ethnicities.both.original.with_med_correction.IRNT,3.2064041893778756,3.206322863886219,4.9756521091817e-4,0.0198019801980198,1.0253683915238676e-5,0.009900990099009901
Age_at_first_live_birth.all_ethnicities.both.original.with_med_correction.RAW,3.205764590497554,3.1832210030200585,4.8425747399272e-4,0.0297029702970297,9.792279652184877e-6,0.009900990099009901
Age_at_first_live_birth.all_ethnicities.both.static_med_corrected.IRNT,2.762066132854062,2.7594960139330005,4.9817263459578e-4,0.0099009900990099,7.831566088023984e-6,0.009900990099009901
Age_at_first_live_birth.all_ethnicities.both.static_med_corrected.RAW,2.7507329425094316,2.7474516893019074,4.9814486458831e-4,0.0099009900990099,7.601123110591668e-6,0.009900990099009901
Age_at_last_live_birth.all_ethnicities.both.2nd_visit.original.RAW,2.958137297941124,3.2264087202318663,4.9375223379801e-4,0.0099009900990099,1.3888183649053698e-4,0.7029702970297029
Age_at_last_live_birth.all_ethnicities.both.dynamic_med_corrected.IRNT,2.8315606705309513,2.9040376015865275,4.9848594518271e-4,0.0099009900990099,7.239760749069614e-6,0.009900990099009901
Age_at_last_live_birth.all_ethnicities.both.dynamic_med_corrected.RAW,2.7151975356748417,2.713506688490793,4.9808042573012e-4,0.0099009900990099,7.001704927663849e-6,0.009900990099009901
Age_at_last_live_birth.all_ethnicities.both.original.IRNT,3.149507471088968,3.149448974666131,4.9729302026818e-4,0.0099009900990099,8.35118551097136e-6,0.009900990099009901
Age_at_last_live_birth.all_ethnicities.both.original.RAW,3.250188928458558,3.1997833403519707,4.4938940561261e-4,0.0198019801980198,8.005968322441492e-6,0.009900990099009901
Age_at_last_live_birth.all_ethnicities.both.original.with_med_correction.IRNT,3.149507471088968,3.149448974666131,4.9729302026818e-4,0.0099009900990099,8.35118551097136e-6,0.009900990099009901
