PHENOTYPE,gPC_1,gPC_2,gPC_3,gPC_4,gPC_5,gPC_6,gPC_7,gPC_8,gPC_9,gPC_10,gPC_11,gPC_12,gPC_13,gPC_14,gPC_15,gPC_16,gPC_17,gPC_18,gPC_19,gPC_20,gPC_21,gPC_22,gPC_23,gPC_24,gPC_25,gPC_26,gPC_27,gPC_28,gPC_29,gPC_30,gPC_31,gPC_32,gPC_33,gPC_34,gPC_35,gPC_36,gPC_37,gPC_38,gPC_39,gPC_40
Apolipoprotein_B.all_ethnicities.both.static_med_corrected.IRNT,8.672853447741416e-12,-2.8205818504898674e-12,3.938191672710396e-12,-1.6501903563978764e-12,2.926727625420505e-12,1.7601081088423325e-12,8.255671168345482e-13,1.531711721637301e-12,5.069371496688542e-13,6.527689519971287e-13,1.7333687254944728e-12,-2.335596935403044e-13,9.362257388499051e-13,-5.035871607535126e-13,9.314759104978593e-14,-2.8914520770715296e-13,-1.323709577493518e-12,2.704877092975864e-13,-6.014767431930304e-13,8.084097689473696e-13,6.000363584388731e-13,9.950234483172325e-14,-5.293216328665421e-13,-4.893887012652513e-13,-9.497799934698693e-13,-3.125137798203046e-13,-5.341980346036136e-13,7.452250724611908e-13,8.044235375056766e-14,4.25730708773056e-13,4.8705155630918914e-14,2.0404369020976795e-13,-1.1487066761332677e-12,7.468028005917036e-13,2.8923849991515156e-13,1.867320871300968e-13,1.6154479352166238e-13,6.937320077778187e-13,7.957353553399463e-13,8.389495221165351e-13
Apolipoprotein_B.all_ethnicities.both.dynamic_med_corrected.IRNT,1.7358609749470738e-12,-4.5176569711317793e-13,1.1981957900882622e-13,1.833049470961524e-12,-7.187384472828052e-13,-4.957837656349969e-13,-1.681996975843553e-13,7.270382452326866e-15,-4.876914761549607e-13,-1.5770904817016945e-13,-1.4013304878311048e-12,7.321758303119245e-13,-1.1595449615187756e-13,-6.635095722144271e-15,1.89659801717157e-14,-1.5825513891442553e-13,1.6443207570181614e-12,-4.2893851831301275e-13,5.333503822220251e-13,-5.793009966448289e-13,-2.088106457629125e-13,-6.204409581886579e-13,-5.5176193867527625e-14,5.498608201900009e-13,2.594116877701898e-12,6.343195767563201e-13,7.555525367331399e-13,-6.864673257515303e-13,-2.3323998566223477e-13,-1.036457553781384e-12,1.619441091064951e-13,-9.13082209745792e-13,1.721418219541206e-12,-1.018475511882283e-12,-1.615474690841034e-13,-5.291609503200462e-13,-1.668379631365093e-13,-1.2428531616912564e-12,-1.4793565868287366e-12,-1.2212830084068025e-12
Apolipoprotein_B.all_ethnicities.both.original.with_med_correction.IRNT,-0.04984776792675624,-0.002317243050852,0.0126043414297396,-0.00452888905198184,-0.00881003925501731,-0.00349346065021622,0.00132652722067223,-0.01257007704627476,0.00303803821108076,-0.00360637710563448,0.00166568499900352,-0.00227739995313192,0.00607228674812738,0.01798022734908765,0.00520941226719625,0.00597392944227667,-0.01233772911249828,0.00580194174113133,0.00444034072642186,0.00541021686547983,0.00118103831978701,6.5296439915835e-4,1.515908046841364e-5,0.00336900065347058,0.00470295188558698,-0.00136324844522687,0.00407845358066815,-0.00523497442494232,0.00221916034386027,-8.3950005906293e-4,-0.00297332834587784,-4.1841428999286e-4,8.0652340699451e-4,-9.8642260243442e-4,-4.7734549882137e-4,-9.3815104499402e-4,-0.00431896324030842,-4.4837071085961e-4,-0.00207539711010832,-3.1141122383446e-4
Apolipoprotein_B.all_ethnicities.both.original.IRNT,-0.04571014399079888,0.00509324460080061,-0.00447393385998267,-0.0066225878875958,-0.00672687856545934,0.00459007934574836,0.0015804552089846,-0.00369581405508191,-9.964949114497344e-5,-0.00744621896695955,-0.00674242277413878,0.00228700586892206,0.00208163083641552,0.01154372593208564,0.00266237297680414,0.00692198576293242,-0.00875007017463207,0.00321023260776964,0.00494144164363321,7.8696977416959e-4,-7.9396697983645e-4,7.3929903362546e-4,0.00223398475341954,0.00255966781037819,0.00237587994630471,-0.00224468050503691,0.00427991923362319,-0.00500356012238367,0.0030521015273102,-5.8055536592546505e-5,-0.00294504629947589,-5.7230434645006e-4,-5.3187666706872e-4,-0.00121332635491555,-5.2746283769819e-4,-5.0903178225161e-4,-0.00254723046175262,-4.1282740197551e-4,-0.0024395102752985,-1.2307576640911e-4
Leg_predicted_mass_right.all_ethnicities.both.static_med_corrected.IRNT,-1.8891289634073116e-12,-1.5830972181727505e-13,-1.4001910754463009e-11,-9.598893648759264e-12,1.5185641795805893e-12,5.712919084175658e-12,4.930806760506377e-12,3.509843252180287e-12,2.1526323207276986e-12,5.756225081324094e-12,2.9508524606754346e-12,2.1966136832306627e-12,9.619586452675051e-13,-1.1890178643617246e-12,1.1261916238123233e-12,-1.5022975455279114e-12,-9.320491736374073e-13,-2.4391542031288145e-13,-2.3330905869721812e-14,-6.984102068084284e-13,9.204568565396966e-14,6.996783671649641e-13,-6.724345041676571e-14,-8.268796548862062e-13,-1.5658679099367543e-14,-2.6196749395710616e-13,-4.665486323528544e-13,6.537918434998293e-13,-2.8009432165888633e-13,9.663595879261215e-15,2.920923396616537e-13,-6.927554403907604e-13,-4.690770108697148e-13,-5.408141874685845e-13,-1.4074736153063547e-14,-5.082751273291774e-13,-2.496021112840206e-13,-1.8853873349742842e-13,1.0835554234251956e-13,1.899038538265574e-13
Leg_predicted_mass_right.all_ethnicities.both.dynamic_med_corrected.IRNT,3.419014534272288e-11,-1.1606955725802372e-11,4.518442827835695e-11,7.869884357077571e-12,-9.931868256697248e-12,-3.8065118077792366e-12,-2.34724541587907e-12,-2.8517574889782773e-12,-1.9465815375899955e-12,-1.3920124370754518e-12,-1.4701014539734762e-12,4.8332857042236936e-14,-2.0779314637653245e-12,3.656222822992647e-12,-2.7854382301528946e-12,2.8292851054436296e-13,7.376220540315694e-13,-4.337975239550739e-13,-7.959709099645468e-13,2.4158921443108736e-12,1.3830707235247629e-12,-1.1692461938908373e-12,-4.5029874057469273e-13,1.3101060697701996e-12,1.1390838279106596e-12,-1.0559123281708652e-12,-8.471582365797858e-13,-8.673601616117548e-13,1.3551050628120194e-12,-9.006706844309866e-13,-1.5582098250596218e-13,-1.1500594669044798e-12,1.144435729302916e-12,9.772186254644116e-13,7.519802350271209e-13,7.210792885409929e-13,-7.550062021114466e-14,5.1846408282706725e-14,-4.890555032900985e-13,4.880151407255856e-13
Leg_predicted_mass_right.all_ethnicities.both.original.with_med_correction.IRNT,-0.00184537353841796,0.06905895672685355,-0.00185624903057582,-0.0055381571954995,-0.03030829082569357,0.00166191161371989,0.00642185919236355,0.01659920036840534,-0.0017492039891198,0.01066022463255465,-0.0094732590708875,0.01059494621892589,-0.00702808890138704,-0.01484771315113891,0.0021277680245305698,-0.01402701775346885,-0.00724355524258843,-0.00136256395371504,2.3929111058137e-4,0.00230001336139387,0.00166942178165351,-0.00187368417353876,0.00237987246254294,0.00298707980239911,5.299283875844467e-5,-5.3055142567536e-4,-7.8596053686583e-4,0.00160652227844166,0.0026039384229192,-0.00156524932591523,-0.00309183443812386,-0.00376548060628285,0.00407994652549234,-0.00395278115425206,0.0019051374408879,0.00406654556894526,-0.0027775002446281,0.00210459955460583,-0.00393447205911371,0.00166298402880595
Leg_predicted_mass_right.all_ethnicities.both.original.IRNT,1.9622960163761e-4,0.06905067396152802,-0.00138987745659245,-0.00509578524743345,-0.03050655901181915,0.00129153749584011,0.00617399743492525,0.01634983026066256,-0.00173148267428489,0.01099229134546283,-0.00913360327505725,0.01015451567936423,-0.00672473161216688,-0.01475502559501146,0.00242128754669124,-0.01412838372679608,-0.00725897958911575,-0.00140044927002008,1.1560739101283e-4,0.00261323628129876,0.00187918756089267,-0.00198385573562785,0.00222889836755731,0.00303396085464533,7.805591114157893e-5,-4.831778033611e-4,-8.0625516456978e-4,0.00149152152267414,0.00260639964669103,-0.00168452713461943,-0.00302750472040389,-0.00376726498783729,0.00414118074524084,-0.00397259120808299,0.00203223093034881,0.00395554899350608,-0.00291860199842983,0.00196429617143146,-0.00393476149630792,0.00173585082242825
Eosinophill_count.all_ethnicities.both.static_med_corrected.IRNT,8.825812785811684e-12,-3.677280453577073e-12,1.474114107215095e-11,-1.207750624346766e-11,-5.9090303657639425e-12,8.364097315604918e-12,7.417787130617739e-12,6.6279950901775695e-12,3.1256034006528324e-12,5.671513216237177e-12,8.81230827773311e-12,3.074549771453997e-12,1.0979770697997457e-13,-9.111640275998513e-13,1.3340337709843553e-12,2.587406619198666e-13,-2.003281662742391e-12,-2.346757265203217e-12,-1.3412112789564693e-12,-4.753689067706995e-13,3.2049965609166854e-14,2.054651064917128e-13,-5.491612777594703e-13,-1.4179444762637444e-12,6.330611536038068e-13,7.558810495074915e-13,-1.4225664160577185e-13,1.666139824715076e-12,-1.0909645604423669e-12,-4.496774723319296e-13,-4.829879621517775e-13,-5.66668618146453e-13,-1.7061505583617086e-12,5.498432625827451e-13,6.86059573633496e-13,-4.05649614937107e-13,5.87270026296835e-13,-3.1339531530442836e-13,7.133667620895275e-13,1.773604632645339e-13
Eosinophill_count.all_ethnicities.both.dynamic_med_corrected.IRNT,1.2718822021013188e-11,-5.205700431242297e-12,4.0657644604685195e-12,-1.3344587083535046e-12,6.973460541811666e-12,8.498684882592477e-13,-1.860709430951013e-12,-4.3826376751902403e-13,1.642462116117291e-12,-1.499543421287039e-12,6.508117878009392e-12,-5.992216061398112e-12,-1.7151763262112076e-13,-4.853255111185329e-13,-1.1058992068751184e-12,6.800725488963012e-13,-2.2342494445042217e-13,1.0916130742808773e-12,-6.772865517067836e-13,1.7293644416443394e-12,4.142775353379182e-13,-1.52702310847123e-12,-2.7504234643913413e-13,5.087808626704151e-13,1.302003328997812e-12,8.187816188947767e-13,4.263664857566618e-13,5.86268075014842e-13,-4.4312501226570186e-14,3.7452394620741525e-14,-8.955939871866159e-14,1.1440290185098217e-12,6.769084461966337e-13,4.3803653332162996e-13,7.371957419449806e-14,1.6627308183297325e-13,2.509114413222865e-13,1.108043315091408e-12,4.860966582463279e-13,-4.348826331627241e-13
