PHENOTYPE,PC1_ABS_COS_SIM,PC1_ABS_PEARSON,RANK_PC1_COS_SIM,RANK_PC1_PEARSON,EVEN_COS_SIM,EVEN_PEARSON,VAR_PP_CORS,MAX_ABS_PP_CORS,MEAN_ABS_PP_CORS,MEAN.DELTA.R2
Age_at_first_live_birth.all_ethnicities.both.original.RAW,0.03734745135039447,0.07923204802457179,40,40,3.2063003347425045,3.187043693586582,0.00928452871162313,0.276630922223573,0.08079745143403666,9.828869997043075e-6
Age_at_last_live_birth.all_ethnicities.both.original.RAW,0.01971164794862123,0.01638581881032319,37,33,3.250188928458558,3.1997833403519707,0.01125540888957305,0.366732892515152,0.08516760763797172,8.005968322441492e-6
Age_first_had_sexual_intercourse.all_ethnicities.both.original.RAW,0.05802795863397955,0.04277488080640446,40,39,2.957044427857699,3.0564087362563024,0.00990756772908211,0.316146907494699,0.08088969393902322,2.8534297797123964e-6
Age_started_wearing_glasses_or_contact_lenses.all_ethnicities.both.original.RAW,0.04253162122021944,0.00123392521875349,40,7,3.187235025626947,3.1968268127263455,0.00962266807214633,0.303775480442288,0.07735249997396172,3.641133282238085e-6
Alanine_aminotransferase.all_ethnicities.both.original.RAW,0.02515954015651064,0.00989259321577359,40,38,3.2868479698770647,3.244747071208631,0.00979255318990657,0.314942230008981,0.07860714437254651,3.9370003284411315e-6
Albumin.all_ethnicities.both.original.RAW,0.02411400615754963,0.03459760638245582,40,40,3.2563877440347184,2.992542573351964,0.01012626648725142,0.26822052111163,0.08471966150333705,6.062721733202103e-6
Alkaline_phosphatase.all_ethnicities.both.original.RAW,0.02111478098369532,0.00397561462764937,40,22,3.238759134777558,3.177481175916218,0.01050790050899877,0.326250115064212,0.0832203248121648,5.5678957929655715e-6
Ankle_spacing_width_left.all_ethnicities.both.original.RAW,0.07930362861031355,0.04899295767381113,38,39,2.8623087062237493,3.021186831215688,0.01019785239939261,0.275032803466926,0.08363419389242581,1.1780568451469351e-5
Ankle_spacing_width_right.all_ethnicities.both.original.RAW,0.07972067497108773,0.04309792609801217,38,39,2.8586888193494935,3.031246104193765,0.00998692630733969,0.288372882082913,0.08197080909058739,1.1682048709660275e-5
Ankle_spacing_width.all_ethnicities.both.original.RAW,0.10735053098681112,0.02143111450678541,40,37,2.89225444554382,3.1985303336553224,0.01136916085298246,0.298799814895202,0.08789185807515702,6.355741864361164e-6
Apolipoprotein_A.all_ethnicities.both.original.RAW,0.02810768240697515,0.03762046202015978,40,39,3.2346858916798524,2.905253613130489,0.00996294949966492,0.244291675016782,0.08115763258400473,4.952615518721837e-6
Apolipoprotein_B.all_ethnicities.both.original.RAW,0.03338499894021814,0.04414453858015325,40,40,3.259452248287738,3.0404447535952848,0.01198609144079583,0.338915158109237,0.08684320025872869,4.951130386702737e-6
Arm_fat_free_mass_left.all_ethnicities.both.original.RAW,0.02475739388465793,0.00994283370646741,39,34,3.2403040335209163,2.9485092692938895,0.01171600258614181,0.296871057949502,0.08800611037307252,2.532831444024275e-6
Arm_fat_free_mass_right.all_ethnicities.both.original.RAW,0.0259069965505087,0.01428430486641323,39,38,3.2379389075568725,2.9602195754937277,0.01175985612767059,0.308063428793935,0.08661607412892236,2.301404595006495e-6
Arm_fat_mass_left.all_ethnicities.both.original.RAW,3.5384098409573e-4,0.04308450043041414,5,39,3.1589488733506057,3.071268068396961,0.01101604440725118,0.288115632821977,0.08384039930384503,5.789921982447821e-6
Arm_fat_mass_right.all_ethnicities.both.original.RAW,1.3451503113169812e-5,0.04446921050168341,1,39,3.15113951037043,3.078621775602063,0.01154881248878309,0.280834177215378,0.08709363716225936,5.806064396776667e-6
Arm_fat_percentage_left.all_ethnicities.both.original.RAW,0.00828859572027428,0.04190129610473348,35,40,3.2916471625545656,3.112250041492606,0.01183595571382734,0.310533459503893,0.08874417356475311,3.643788972995665e-6
Arm_fat_percentage_right.all_ethnicities.both.original.RAW,0.00677721883593946,0.04565593909407883,28,40,3.294523129153833,3.091724194086855,0.01187569180100292,0.313520686733991,0.08840947805570368,3.6023528542927785e-6
Arm_predicted_mass_left.all_ethnicities.both.original.RAW,0.0247779874438135,0.00997704593759284,39,34,3.2391967390320726,2.95717409382354,0.01177245449080442,0.319813896020179,0.08858782551985697,2.4633842662380445e-6
Arm_predicted_mass_right.all_ethnicities.both.original.RAW,0.02596406888208482,0.014359091240933,39,38,3.237552128587391,2.975709179690433,0.01166048375817038,0.309120592121737,0.08709793353710782,2.253962478215854e-6
Aspartate_aminotransferase.all_ethnicities.both.original.RAW,0.0183180926539447,0.00965811177188763,40,38,3.3058911065130023,3.201702302070088,0.00852108707163248,0.255583629427557,0.07580661436813795,3.5327437163529263e-6
Basal_metabolic_rate.all_ethnicities.both.original.RAW,0.02368716658302028,0.00653332105346092,39,31,3.257121451315134,2.8963259406979436,0.01198824022110104,0.251291522546053,0.09156494013685032,3.1415131297451993e-6
Basophill_count.all_ethnicities.both.original.RAW,0.01230883623563745,0.00149896974379113,37,12,3.2853323977973057,3.18832194210679,0.01025196126384014,0.31492498371318,0.08049246352578684,3.359171884854094e-6
Basophill_percentage.all_ethnicities.both.original.RAW,0.00730769253392767,0.01298419948338541,34,38,3.2689513973569904,3.082187148473462,0.01090340101173487,0.315028612338327,0.08356890569562175,3.0319411157509954e-6
Birth_weight_of_first_child.all_ethnicities.both.original.RAW,0.04310917532227268,0.1266958032585914,40,40,3.204409719154077,2.8607844262525837,0.00860415252362248,0.282352292754892,0.07509240630094985,5.345295891159146e-6
Birth_weight.all_ethnicities.both.original.RAW,0.16461995101213087,0.02132100520975895,40,39,2.6558598575111447,3.104684054038807,0.00902931517909498,0.300583761298997,0.07657536902361026,5.353820537637444e-6
Body_fat_percentage.all_ethnicities.both.original.RAW,0.01502284688107728,0.02680137831731312,38,37,3.277833861238127,3.0740332719497294,0.01161016285074021,0.378700215562172,0.08640982214261703,3.6582856335898306e-6
Body_mass_index_BMI.all_ethnicities.both.original.RAW,0.01526967214715367,0.04469640940972563,38,39,3.310760916715928,3.284153781469016,0.00998831204417009,0.346058688677725,0.08037178985894808,7.2771060440034174e-6
C_reactive_protein.all_ethnicities.both.original.RAW,0.00853729172387838,0.00399897938856332,34,26,3.2694310112199085,3.129066342256678,0.01056319948461488,0.319164562437215,0.08102840259564298,3.6488854739938e-6
Calcium.all_ethnicities.both.original.RAW,0.02223305063637767,0.00442574532697455,40,19,3.2615458752894653,3.200837784457495,0.00963641260379124,0.2796269863528,0.07936080776079178,4.94865358978587e-6
Cholesterol.all_ethnicities.both.original.RAW,0.03596305482017724,0.06592655274539934,40,40,3.2185473925537726,2.907848016559057,0.01080461139325786,0.295805937713764,0.08321542286350934,4.4002247507682335e-6
Creatinine_enzymatic_in_urine.all_ethnicities.both.original.RAW,0.02525225778114872,0.08123556637658842,39,40,3.143153394765661,2.715740470695618,0.01067968286994464,0.301001388578132,0.08586709848578149,3.2564076351687676e-6
Creatinine.all_ethnicities.both.original.RAW,0.01210991320095953,0.04245806050890385,36,40,3.307728958390749,2.970106249776669,0.0110548637733936,0.354222433902911,0.08624829442753189,3.9571954568440315e-6
Cystatin_C.all_ethnicities.both.original.RAW,0.03004741463894379,0.03708161286947018,40,39,3.252958533140478,2.9901670577416204,0.01037509401583786,0.259536992662019,0.08378748538739264,5.735746439916589e-6
